nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std
10876,39994,100,0.85,1.0E-4,50,50,1.0,100,0.85,1.0E-4,0.4084507042253521,0.9257964494694736,1.0,0.12325272214268505,0.0,15.98375,46.0,19.130825542498158,
10876,39994,100,0.85,1.0E-4,50,55,1.1,100,0.85,1.0E-4,0.47058823529411764,0.9280237484500308,1.0,0.1207303220030986,0.0,15.86375,46.0,18.98960731393622,
10876,39994,100,0.85,1.0E-4,50,60,1.2,100,0.85,1.0E-4,0.47058823529411764,0.9301452340736825,1.0,0.11699394755511754,0.0,15.76375,45.0,18.878438387152155,
10876,39994,100,0.85,1.0E-4,50,65,1.3,100,0.85,1.0E-4,0.47058823529411764,0.9300462708649421,1.0,0.11793753819714822,0.0,15.65875,45.0,18.745794153289424,
10876,39994,100,0.85,1.0E-4,50,70,1.4,100,0.85,1.0E-4,0.4492753623188406,0.9325345516180703,1.0,0.11536583252701477,0.0,15.53875,46.0,18.615410240913306,
10876,39994,100,0.85,1.0E-4,50,75,1.5,100,0.85,1.0E-4,0.4084507042253521,0.9333759114891265,1.0,0.11276096440216027,0.0,15.41875,45.0,18.472503848625937,
10876,39994,100,0.85,1.0E-4,50,80,1.6,100,0.85,1.0E-4,0.47058823529411764,0.9349174910454878,1.0,0.11187218227196719,0.0,15.34,45.0,18.38523592451291,
10876,39994,100,0.85,1.0E-4,50,85,1.7,100,0.85,1.0E-4,0.4925373134328358,0.9369499493971106,1.0,0.11013318444834233,0.0,15.245,46.0,18.281889262327347,
10876,39994,100,0.85,1.0E-4,50,90,1.8,100,0.85,1.0E-4,0.47058823529411764,0.9372686845932284,1.0,0.11046364260534312,0.0,15.1375,44.0,18.16187197813045,
10876,39994,100,0.85,1.0E-4,50,95,1.9,100,0.85,1.0E-4,0.5384615384615384,0.9363932272618656,1.0,0.1111215912678876,0.0,15.13375,44.0,18.150436935167704,
10876,39994,100,0.85,1.0E-4,50,100,2.0,100,0.85,1.0E-4,0.4925373134328358,0.9383110846178462,1.0,0.10795672063809827,0.0,15.03125,45.0,18.02540633210525,
10876,39994,100,0.85,1.0E-4,50,105,2.1,100,0.85,1.0E-4,0.4925373134328358,0.9400200105100132,1.0,0.1055161132141029,0.0,14.9575,45.0,17.938734452296238,
10876,39994,100,0.85,1.0E-4,50,110,2.2,100,0.85,1.0E-4,0.4925373134328358,0.9401433701459985,1.0,0.1067154639239835,0.0,14.845,45.0,17.816803164428798,
10876,39994,100,0.85,1.0E-4,50,115,2.3,100,0.85,1.0E-4,0.4925373134328358,0.9403452559395782,1.0,0.10525174155459707,0.0,14.7975,46.0,17.767990706604955,
10876,39994,100,0.85,1.0E-4,50,120,2.4,100,0.85,1.0E-4,0.47058823529411764,0.9415971259578894,1.0,0.10436129750308708,0.0,14.66625,44.0,17.61511739777797,
10876,39994,100,0.85,1.0E-4,50,125,2.5,100,0.85,1.0E-4,0.4925373134328358,0.9427124034521306,1.0,0.1026904298322672,0.0,14.59125,44.0,17.532161117144117,
10876,39994,100,0.85,1.0E-4,50,130,2.6,100,0.85,1.0E-4,0.5384615384615384,0.9432192290451664,1.0,0.10096701992934529,0.0,14.5425,45.0,17.484155505771504,
10876,39994,100,0.85,1.0E-4,50,135,2.7,100,0.85,1.0E-4,0.5384615384615384,0.9434118415191004,1.0,0.1009574608700389,0.0,14.49625,45.0,17.420892225643897,
10876,39994,100,0.85,1.0E-4,50,140,2.8,100,0.85,1.0E-4,0.5873015873015873,0.9446378891920638,1.0,0.0994615097512691,0.0,14.45125,44.0,17.37369055317551,
10876,39994,100,0.85,1.0E-4,50,145,2.9,100,0.85,1.0E-4,0.5625,0.9449839500360959,1.0,0.09881456549082669,0.0,14.3625,44.0,17.262418537099602,
10876,39994,100,0.85,1.0E-4,50,150,3.0,100,0.85,1.0E-4,0.5384615384615384,0.9442031448790638,1.0,0.09899137533164634,0.0,14.34875,45.0,17.252814942423164,
10876,39994,100,0.85,1.0E-4,50,155,3.1,100,0.85,1.0E-4,0.5384615384615384,0.9465901794708604,1.0,0.09524684731179554,0.0,14.255,45.0,17.15087388444099,
10876,39994,100,0.85,1.0E-4,50,160,3.2,100,0.85,1.0E-4,0.5384615384615384,0.946866608661089,1.0,0.09507231411162306,0.0,14.2275,45.0,17.114270178713436,
10876,39994,100,0.85,1.0E-4,50,165,3.3,100,0.85,1.0E-4,0.5384615384615384,0.9471555476182139,1.0,0.09394024835776142,0.0,14.17625,45.0,17.061658358363058,
10876,39994,100,0.85,1.0E-4,50,170,3.4,100,0.85,1.0E-4,0.5625,0.947157655779371,1.0,0.09440769974502579,0.0,14.1275,46.0,17.011797193418452,
10876,39994,100,0.85,1.0E-4,50,175,3.5,100,0.85,1.0E-4,0.5873015873015873,0.948203082999425,1.0,0.0924068014220192,0.0,14.0725,45.0,16.94047649123247,
10876,39994,100,0.85,1.0E-4,50,180,3.6,100,0.85,1.0E-4,0.5384615384615384,0.9482787060666609,1.0,0.09375158092309722,0.0,14.00375,45.0,16.86686799431062,
10876,39994,100,0.85,1.0E-4,50,185,3.7,100,0.85,1.0E-4,0.5625,0.9500449727156871,1.0,0.09086341802405688,0.0,13.90875,44.0,16.771044196396954,
10876,39994,100,0.85,1.0E-4,50,190,3.8,100,0.85,1.0E-4,0.5384615384615384,0.9497827082463555,1.0,0.09063775967247616,0.0,13.93,45.0,16.7911464766406,
10876,39994,100,0.85,1.0E-4,50,195,3.9,100,0.85,1.0E-4,0.5625,0.9509238323217387,1.0,0.08888222677465442,0.0,13.8625,44.0,16.715893447554635,
10876,39994,100,0.85,1.0E-4,50,200,4.0,100,0.85,1.0E-4,0.5384615384615384,0.9515978594102786,1.0,0.08808913565824324,0.0,13.78625,44.0,16.62341905076991,
10876,39994,100,0.85,1.0E-4,50,205,4.1,100,0.85,1.0E-4,0.5873015873015873,0.9526950935204702,1.0,0.08504524464039029,0.0,13.73,43.0,16.568482127219742,
10876,39994,100,0.85,1.0E-4,50,210,4.2,100,0.85,1.0E-4,0.5873015873015873,0.9527468527862739,1.0,0.08547285075130663,0.0,13.65625,44.0,16.474847068713565,
10876,39994,100,0.85,1.0E-4,50,215,4.3,100,0.85,1.0E-4,0.639344262295082,0.95367530965339,1.0,0.08345388529941042,0.0,13.63875,43.0,16.453289897084414,
10876,39994,100,0.85,1.0E-4,50,220,4.4,100,0.85,1.0E-4,0.6129032258064516,0.9536685005775617,1.0,0.08424276568046296,0.0,13.56,43.0,16.37227534583999,
10876,39994,100,0.85,1.0E-4,50,225,4.5,100,0.85,1.0E-4,0.6129032258064516,0.954412218337214,1.0,0.08351023102912258,0.0,13.58125,43.0,16.396597160310428,
10876,39994,100,0.85,1.0E-4,50,230,4.6,100,0.85,1.0E-4,0.5625,0.9545895331391908,1.0,0.08380786356888265,0.0,13.52375,43.0,16.34241218234016,
10876,39994,100,0.85,1.0E-4,50,235,4.7,100,0.85,1.0E-4,0.5873015873015873,0.9552850993185316,1.0,0.08222256396499195,0.0,13.40625,44.0,16.211067544659112,
10876,39994,100,0.85,1.0E-4,50,240,4.8,100,0.85,1.0E-4,0.6129032258064516,0.954930414386899,1.0,0.08255753446503729,0.0,13.3675,43.0,16.161836026578168,
10876,39994,100,0.85,1.0E-4,50,245,4.9,100,0.85,1.0E-4,0.5873015873015873,0.9564887929736325,1.0,0.08082242682225155,0.0,13.3425,43.0,16.12436646042256,
10876,39994,100,0.85,1.0E-4,50,250,5.0,100,0.85,1.0E-4,0.6129032258064516,0.9558416674895003,1.0,0.08202398427611822,0.0,13.29375,42.0,16.07093528508842,
10876,39994,100,0.85,1.0E-4,50,255,5.1,100,0.85,1.0E-4,0.5873015873015873,0.955780676880438,1.0,0.0819315819246037,0.0,13.27125,44.0,16.05607901816318,
10876,39994,100,0.85,1.0E-4,50,260,5.2,100,0.85,1.0E-4,0.5873015873015873,0.9559372663332633,1.0,0.08197364930605457,0.0,13.215,43.0,16.00183661333911,
10876,39994,100,0.85,1.0E-4,50,265,5.3,100,0.85,1.0E-4,0.6129032258064516,0.956029332723241,1.0,0.0815083280543967,0.0,13.19875,44.0,15.972218018719254,
10876,39994,100,0.85,1.0E-4,50,270,5.4,100,0.85,1.0E-4,0.6129032258064516,0.9571824850289878,1.0,0.08045739468454076,0.0,13.12625,43.0,15.882153850706144,
10876,39994,100,0.85,1.0E-4,50,275,5.5,100,0.85,1.0E-4,0.639344262295082,0.957122371271242,1.0,0.07997042039754679,0.0,13.1225,43.0,15.894652992437425,
10876,39994,100,0.85,1.0E-4,50,280,5.6,100,0.85,1.0E-4,0.6129032258064516,0.9580801928692196,1.0,0.07842866210207874,0.0,13.06375,43.0,15.835788137554127,
10876,39994,100,0.85,1.0E-4,50,285,5.7,100,0.85,1.0E-4,0.6129032258064516,0.9585874918448661,1.0,0.07721453118738154,0.0,13.01375,43.0,15.762330441197458,
10876,39994,100,0.85,1.0E-4,50,290,5.8,100,0.85,1.0E-4,0.5873015873015873,0.9574652412347189,1.0,0.07944084798799148,0.0,13.01125,43.0,15.76383910846276,
10876,39994,100,0.85,1.0E-4,50,295,5.9,100,0.85,1.0E-4,0.6129032258064516,0.9594219017722645,1.0,0.07581271900092558,0.0,12.9525,43.0,15.696663459155898,
10876,39994,100,0.85,1.0E-4,50,300,6.0,100,0.85,1.0E-4,0.5873015873015873,0.9587911110391503,1.0,0.07816790612922257,0.0,12.87375,43.0,15.60802072453455,
10876,39994,100,0.85,1.0E-4,50,305,6.1,100,0.85,1.0E-4,0.6129032258064516,0.9599020282634068,1.0,0.07532400133535101,0.0,12.845,42.0,15.564172801662156,
10876,39994,100,0.85,1.0E-4,50,310,6.2,100,0.85,1.0E-4,0.6129032258064516,0.9593478184785463,1.0,0.07652728547373358,0.0,12.81125,42.0,15.533934576838542,
10876,39994,100,0.85,1.0E-4,50,315,6.3,100,0.85,1.0E-4,0.6129032258064516,0.9600174509124523,1.0,0.07492916734320487,0.0,12.77,42.0,15.487724171097572,
10876,39994,100,0.85,1.0E-4,50,320,6.4,100,0.85,1.0E-4,0.6129032258064516,0.960507955234873,1.0,0.0755123286092993,0.0,12.74125,42.0,15.44989638921569,
10876,39994,100,0.85,1.0E-4,50,325,6.5,100,0.85,1.0E-4,0.6129032258064516,0.9602449504290033,1.0,0.07520710974511229,0.0,12.6775,42.0,15.378426244255293,
10876,39994,100,0.85,1.0E-4,50,330,6.6,100,0.85,1.0E-4,0.5625,0.9608673474453758,1.0,0.07413855594140858,0.0,12.65375,42.0,15.349474288636078,
10876,39994,100,0.85,1.0E-4,50,335,6.7,100,0.85,1.0E-4,0.6129032258064516,0.9612534881128169,1.0,0.07467170171238643,0.0,12.61875,42.0,15.31627887045349,
10876,39994,100,0.85,1.0E-4,50,340,6.8,100,0.85,1.0E-4,0.639344262295082,0.9611970505387193,1.0,0.07411075981028108,0.0,12.59125,42.0,15.282070325629967,
10876,39994,100,0.85,1.0E-4,50,345,6.9,100,0.85,1.0E-4,0.6666666666666666,0.9629867991909312,1.0,0.06971732235526806,0.0,12.54125,42.0,15.22886399038024,
10876,39994,100,0.85,1.0E-4,50,350,7.0,100,0.85,1.0E-4,0.639344262295082,0.961984279572399,1.0,0.07315182497158465,0.0,12.4975,42.0,15.178109030771916,
10876,39994,100,0.85,1.0E-4,50,355,7.1,100,0.85,1.0E-4,0.639344262295082,0.962229891118064,1.0,0.07096778390671803,0.0,12.45125,42.0,15.130767443771648,
10876,39994,100,0.85,1.0E-4,50,360,7.2,100,0.85,1.0E-4,0.6129032258064516,0.9623007753529662,1.0,0.07183718194939893,0.0,12.43875,42.0,15.12510325377979,
10876,39994,100,0.85,1.0E-4,50,365,7.3,100,0.85,1.0E-4,0.639344262295082,0.9628115861540862,1.0,0.07047834118239175,0.0,12.4275,42.0,15.103964504394202,
10876,39994,100,0.85,1.0E-4,50,370,7.4,100,0.85,1.0E-4,0.6666666666666666,0.9627388513037033,1.0,0.07024618749105525,0.0,12.405,42.0,15.072938499177923,
