nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,max entries,node id,indegree,outdegree,neighbour indegree,neighbour outdegree,pagerank,neighbour pagerank,jaccard,neighbour jaccard,kendall,neighbour kendall,pagerank error,neighbour pagerank error,excluded,neighbour excluded,included,neighbour included
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,18,153,153,42.40522875816993,42.40522875816993,8.393883582186936E-4,2.505625176772365E-4,0.6949152542372882,0.8845918317081873,0.8628571428571429,0.8693103519342285,331.0027300302304,20.821083210447966,65,4.490196078431373,14,6.496732026143791
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,19,74,74,45.810810810810814,45.810810810810814,4.2177893392036426E-4,2.7200412223698015E-4,0.7857142857142857,0.8891718293631709,0.7665306122448979,0.86173372185995,119.58417965966744,34.62487250746294,46,8.527027027027026,3,8.554054054054054
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,20,2,2,32.5,32.5,3.074206386836494E-5,1.9945690563690828E-4,0.8867924528301887,0.904934687953556,0.846530612244898,0.8922448979591836,0.1401138992403386,9.080090775035018,0,0.5,1,11.0
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,21,49,49,32.97959183673469,32.97959183673469,2.9531372042853677E-4,2.076340394815985E-4,0.9230769230769231,0.8886796900610164,0.8106122448979591,0.8943998535739829,58.65356634693828,21.26095065938544,14,2.163265306122449,8,7.551020408163265
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,22,266,266,68.54511278195488,68.54511278195488,0.0013075983419793813,3.7398108896490387E-4,0.5625,0.8778224665677445,0.7616326530612245,0.8321635746430474,1285.9118960776148,43.17232861528533,319,16.80827067669173,22,7.398496240601504
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,23,111,111,38.0990990990991,38.0990990990991,6.580266798065619E-4,2.4534433330941277E-4,0.8518518518518519,0.8925308860716138,0.7926530612244898,0.8783294554785592,213.3681904111885,24.98608499054806,6,4.396396396396397,19,7.198198198198198
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,24,40,40,80.725,80.725,2.5749054544053614E-4,4.6275129061002917E-4,1.0,0.8552631118887302,0.9559183673469388,0.8437525343470723,39.91233366112919,145.7163360868044,4,24.975,8,22.775
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,25,22,22,37.77272727272727,37.77272727272727,1.44196634185426E-4,2.440789536558468E-4,0.8867924528301887,0.8861520492974647,0.9412244897959183,0.8756619443084365,8.137673051032058,24.327615866556695,2,3.909090909090909,3,7.090909090909091
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,26,4,4,26.25,26.25,4.66358785026714E-5,1.9255712420306056E-4,0.8518518518518519,0.915430306939741,0.8741830065359477,0.9342587034813926,0.8306051934951801,17.946134986389943,0,1.0,0,6.75
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,50,27,223,223,72.60538116591928,72.60538116591928,0.001131704833055311,4.055034766967454E-4,0.5873015873015873,0.8708595904911689,0.7534693877551021,0.8328693971418344,913.4330505805128,55.56390909831596,295,22.22421524663677,8,7.542600896860987
