nodes,edges,iterations,damping,tolerance,frontierThreshold,iterations,damping,tolerance,max entries,node id,indegree,outdegree,neighbour indegree,neighbour outdegree,pagerank,neighbour pagerank,jaccard,neighbour jaccard,kendall,neighbour kendall,pagerank error,neighbour pagerank error,excluded,neighbour excluded,included,neighbour included
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,0,23,23,33.82608695652174,33.82608695652174,1.6623115643367762E-4,3.1417980853500543E-4,1.0,0.9848477537036144,0.9983673469387755,0.9928995294899595,3.9742966485879867,5.258571062803683,0,0.13043478260869565,1,1.391304347826087
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,1,22,22,98.86363636363636,98.86363636363636,1.8849318913952536E-4,4.3702245720261845E-4,0.9607843137254902,0.9787467434526257,0.9983673469387755,0.9833766233766235,1.9763897254059768,27.78472362373378,0,17.181818181818183,4,2.590909090909091
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,2,10,10,32.5,32.5,7.153199619457933E-5,3.1012035611872055E-4,1.0,0.9766214177978885,0.9885714285714285,0.9936325196745364,1.1371665455632323,4.117690766578274,0,0.0,2,1.9
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,3,22,22,23.90909090909091,23.90909090909091,1.9315138092572436E-4,2.221981506236766E-4,0.9607843137254902,0.9822432469491293,0.996734693877551,0.9930978451986859,3.0058661612121105,2.8271921211003783,0,0.09090909090909091,0,1.7272727272727273
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,4,253,253,37.49802371541502,37.49802371541502,0.001137737567059322,2.9291829989196345E-4,0.9607843137254902,0.9837959174445172,0.9706122448979592,0.9908806961001353,53.54815336158296,2.731709549894091,16,0.7628458498023716,4,1.2450592885375493
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,5,19,19,63.1578947368421,63.1578947368421,1.0464615279881238E-4,5.377934568494497E-4,0.9607843137254902,0.9897594665396523,0.9885714285714285,0.992437817232156,2.580605901853497,8.877366117298394,0,0.3684210526315789,0,3.0526315789473686
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,6,161,161,27.60248447204969,27.60248447204969,8.693119557293071E-4,2.4629625874283463E-4,1.0,0.9832676933965354,0.9804081632653061,0.990283861591962,36.69347054144953,2.471716178207248,0,0.043478260869565216,1,1.1490683229813665
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,7,73,73,39.136986301369866,39.136986301369866,3.6473315135899354E-4,3.269911016241054E-4,1.0,0.985516229674166,0.9820408163265306,0.992820011961839,19.06692971346958,3.812458917720648,0,0.1095890410958904,13,1.9452054794520548
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,8,72,72,28.958333333333332,28.958333333333332,3.7222608658779544E-4,2.5734520056289075E-4,1.0,0.9815862242332819,0.9934693877551021,0.9902257546898081,18.68101054363513,2.630775334279422,0,0.041666666666666664,7,0.9166666666666666
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,9,698,698,50.03868194842407,50.03868194842407,0.0026117256350098126,3.5240957217312787E-4,0.9607843137254902,0.9868294242978263,0.9510204081632653,0.9908767431175373,315.3075877830805,2.4439135780808994,310,0.23638968481375358,0,1.143266475644699
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,10,51,51,35.31372549019608,35.31372549019608,2.464502187598584E-4,2.759778936946447E-4,1.0,0.9854772837732941,0.996734693877551,0.9913558887607331,6.9557250128638906,2.6964882961082473,0,0.0784313725490196,1,1.3333333333333333
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,11,8,8,43.5,43.5,5.9455734763525474E-5,3.5532920684180983E-4,1.0,0.9756787330316743,0.9951020408163266,0.9904073295985061,0.8459727104873446,7.728654885338344,0,0.25,0,2.875
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,12,99,99,44.58585858585859,44.58585858585859,5.246218723727776E-4,3.790959888147787E-4,0.9230769230769231,0.9841857488916311,0.9836734693877551,0.990070826540175,24.36114872014605,3.650356436014929,1,0.1919191919191919,7,1.5757575757575757
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,13,40,40,84.0,84.0,1.9450138501020376E-4,6.672958179506775E-4,0.9607843137254902,0.9814479638009042,0.986938775510204,0.9875090353067669,5.56994026423762,8.999538087435575,3,5.225,1,4.65
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,14,15,15,65.4,65.4,7.862187474838026E-5,5.245417549203271E-4,1.0,0.9921568627450981,0.9820408163265306,0.9927028259863616,1.1696998612720877,6.317627197264718,0,0.6,0,4.8
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,15,40,40,38.3,38.3,2.2827398629827556E-4,3.359316689441459E-4,1.0,0.9872926093514325,0.996734693877551,0.9917953839999225,7.887181018703533,4.8109023859227795,0,0.1,1,1.8
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,16,8,8,38.375,38.375,5.230235615408785E-5,3.3102171250933807E-4,0.9230769230769231,0.9901960784313726,0.9836734693877551,0.9959183673469387,1.0912480223330245,3.118980766384104,0,0.0,0,1.75
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,17,39,39,33.12820512820513,33.12820512820513,2.09776398029974E-4,2.848866645614708E-4,1.0,0.9849943922342109,0.9951020408163266,0.9906223342359172,6.896560206304766,4.2975995370245474,0,0.1282051282051282,2,1.7435897435897436
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,18,153,153,42.40522875816993,42.40522875816993,6.43704735303138E-4,3.20620521201171E-4,0.9607843137254902,0.9846705902069225,0.9559183673469388,0.9917284505859596,32.71903608940119,2.747091724146319,4,0.0915032679738562,5,1.2549019607843137
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,19,74,74,45.810810810810814,45.810810810810814,3.302060732016532E-4,3.483137686354097E-4,1.0,0.9909909909909903,0.9804081632653061,0.9913062700788439,12.924712381847893,3.979054185589076,1,0.32432432432432434,7,1.945945945945946
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,20,2,2,32.5,32.5,2.842315089206336E-5,2.512967355453804E-4,0.9607843137254902,0.9803921568627452,0.986938775510204,0.9983673469387755,0.1988365718100901,1.8259408339829777,0,0.0,0,2.5
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,21,49,49,32.97959183673469,32.97959183673469,2.444972712871201E-4,2.649258093566849E-4,1.0,0.9864869024532884,0.9934693877551021,0.9934359321960083,7.545948263743506,3.18958767677439,0,0.04081632653061224,0,1.2448979591836735
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,22,266,266,68.54511278195488,68.54511278195488,8.823639195385213E-4,4.7730108917318665E-4,0.9607843137254902,0.9875083636693519,0.9477551020408164,0.9911365381477304,49.10282339855756,4.0598053707921515,43,0.6428571428571429,5,2.1315789473684212
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,23,111,111,38.0990990990991,38.0990990990991,5.349811701816887E-4,3.211098949316505E-4,1.0,0.9845093962741026,0.9820408163265306,0.9912916616835051,30.736505904030206,3.350207753662248,1,0.12612612612612611,2,1.6306306306306306
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,24,40,40,80.725,80.725,3.3158548307084837E-4,3.607565726935416E-4,1.0,0.9784690799396676,1.0,0.9807346938775513,6.19752878946102,20.33503456749552,0,10.425,1,2.575
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,25,22,22,37.77272727272727,37.77272727272727,1.2069598688539007E-4,3.175844467259375E-4,1.0,0.9875908405320171,0.9918367346938776,0.989164878072441,2.269645595584256,3.492949056539277,0,0.09090909090909091,3,1.1818181818181819
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,26,4,4,26.25,26.25,4.321250090304998E-5,2.5161339949642274E-4,0.9607843137254902,1.0,0.9885714285714285,0.9967326930772309,0.6042842566007841,3.048934962703706,0,0.0,0,0.5
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,27,223,223,72.60538116591928,72.60538116591928,7.808349074955807E-4,5.247227036519947E-4,0.9607843137254902,0.9850996624934878,0.9444897959183673,0.9901816682854241,39.57751864938601,4.994679602836007,37,0.8295964125560538,8,2.874439461883408
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,28,59,59,41.45762711864407,41.45762711864407,2.8154259912080193E-4,3.439344349399061E-4,1.0,0.9860930030421545,0.9934693877551021,0.9925279247556422,13.63803070678411,4.597775648900374,0,0.15254237288135594,7,1.7966101694915255
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,29,64,64,42.5,42.5,2.9164835569025815E-4,3.3079732947715023E-4,1.0,0.9859304298642522,0.9787755102040816,0.9931370452548391,10.525514857782191,3.690481899058104,0,0.328125,1,1.765625
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,30,19,19,79.57894736842105,79.57894736842105,8.984945805307224E-5,5.523380818638332E-4,0.9607843137254902,0.9775343335714851,0.9804081632653061,0.9896885069817402,1.0223650679932754,5.622097568043952,0,1.105263157894737,0,2.210526315789474
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,31,12,12,43.25,43.25,7.488740952851642E-5,4.039173556324638E-4,0.9607843137254902,0.9870537958773253,0.9820408163265306,0.9953728103218319,1.963036138538114,4.118029562517626,0,0.08333333333333333,0,1.4166666666666667
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,32,40,40,39.25,39.25,2.108866570293698E-4,3.296033198827769E-4,1.0,0.9883107088989439,0.9951020408163266,0.9899984977584146,6.534729792564282,4.483293107903968,0,0.1,3,1.3
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,33,10,10,44.2,44.2,6.70872267642612E-5,3.8905993090788916E-4,0.9607843137254902,0.9923076923076923,0.9934693877551021,0.9928156595971721,1.1946696965326868,5.782041266724347,0,0.3,0,3.0
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,34,88,88,28.375,28.375,4.822137454810808E-4,2.443965432412661E-4,0.9607843137254902,0.9814195700710685,0.9918367346938776,0.9916875670273924,22.126612026767813,2.8757557948129477,0,0.056818181818181816,4,1.1590909090909092
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,35,28,28,42.464285714285715,42.464285714285715,1.494522189456787E-4,3.5813772793765586E-4,0.9607843137254902,0.9901960784313726,0.9951020408163266,0.9921274698017312,4.279671510100313,5.270663382340987,0,0.17857142857142858,0,1.5714285714285714
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,36,84,84,54.80952380952381,54.80952380952381,3.4866287817805265E-4,4.245418629839528E-4,0.9607843137254902,0.9892623716153126,0.9657142857142857,0.9910585980423923,13.272203048761789,4.766883054577529,0,0.8809523809523809,3,2.4166666666666665
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,37,4,4,47.0,47.0,3.529519474411541E-5,3.4131262421655505E-4,1.0,0.9901960784313726,0.9722448979591837,0.9938775510204081,0.2499229950236579,4.834611555682066,0,0.25,0,1.0
7547,163724,100,0.85,0.005,0.005,100,0.85,1.0E-4,50,38,42,42,72.9047619047619,72.9047619047619,1.6814257402044183E-4,5.484746242293674E-4,1.0,0.9860303095597208,0.996734693877551,0.9897764185039092,2.9225390629867487,4.487524938018298,0,0.6428571428571429,8,3.3333333333333335
