nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,max entries,node id,indegree,outdegree,neighbour indegree,neighbour outdegree,pagerank,neighbour pagerank,jaccard,neighbour jaccard,kendall,neighbour kendall,pagerank error,neighbour pagerank error,excluded,neighbour excluded,included,neighbour included
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,0,23,23,33.82608695652174,33.82608695652174,1.804734445456222E-4,2.3751419459770132E-4,0.8348623853211009,0.7938713043066877,0.8727272727272727,0.8595469315534434,55.07822143337107,123.4518849385765,1,14.521739130434783,35,37.0
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,1,22,22,98.86363636363636,98.86363636363636,1.4783224312308233E-4,5.614047633319691E-4,0.680672268907563,0.8046984887922686,0.8707070707070707,0.8124504732476957,51.8204984853733,425.4080093373404,0,78.0909090909091,54,30.045454545454547
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,2,10,10,32.5,32.5,8.121155146263418E-5,2.3373045249171575E-4,0.7391304347826086,0.7668189331584853,0.8290909090909091,0.8654096015710941,11.832909257629275,93.96699315318344,0,3.2,15,48.2
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,3,22,22,23.90909090909091,23.90909090909091,1.9201399132139972E-4,1.7047041798294593E-4,0.8348623853211009,0.7616776454863228,0.8888888888888888,0.8563228006374156,31.454527767703446,79.36530016734015,0,3.772727272727273,10,32.36363636363637
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,4,253,253,37.49802371541502,37.49802371541502,0.001424914228268597,2.2794025010383447E-4,0.6528925619834711,0.7296461730488208,0.7264646464646465,0.8440702027416871,1218.301722428998,116.9925159662018,176,29.067193675889328,28,32.78260869565217
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,5,19,19,63.1578947368421,63.1578947368421,1.304762181766161E-4,4.0437888426896214E-4,0.680672268907563,0.8125743131493026,0.8464646464646465,0.8511803478404938,37.10295815449516,258.4075510444076,0,33.05263157894737,33,46.73684210526316
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,6,161,161,27.60248447204969,27.60248447204969,0.00101211994710928,1.8860405486139867E-4,0.8348623853211009,0.7449745961171554,0.7571717171717172,0.8495797534746398,561.9417335975842,75.78767574383549,37,7.180124223602484,66,30.018633540372672
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,7,73,73,39.136986301369866,39.136986301369866,4.43097807623784E-4,2.5140772352808015E-4,0.941747572815534,0.7752407283675473,0.825050505050505,0.8564126493739045,337.7859347074823,122.71430892411652,11,10.73972602739726,51,43.06849315068493
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,8,72,72,28.958333333333332,28.958333333333332,4.401894478477084E-4,1.9641704631552165E-4,0.9230769230769231,0.7282877023950539,0.8412121212121212,0.8566015685201323,281.2915868586944,76.4150335552438,8,7.944444444444445,56,31.430555555555557
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,9,698,698,50.03868194842407,50.03868194842407,0.0036129616643138717,2.778739979529586E-4,0.7094017094017094,0.7407098718517301,0.675959595959596,0.8287395232128115,1012.944604547698,105.7439117141088,31,28.560171919770774,41,31.52865329512894
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,10,51,51,35.31372549019608,35.31372549019608,3.0302536848865626E-4,2.1619943904268018E-4,0.9230769230769231,0.7492453168652986,0.8828282828282829,0.8423242459269485,181.7439547634981,80.80789335621336,52,7.8431372549019605,22,31.431372549019606
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,11,8,8,43.5,43.5,6.678165742916414E-5,2.7533093149606085E-4,0.8018018018018018,0.7715974325166356,0.8565366740755708,0.8591746235446788,5.356244413983123,181.3744078757085,0,23.25,8,46.0
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,12,99,99,44.58585858585859,44.58585858585859,6.417986376420406E-4,2.8493426182715125E-4,0.8518518518518519,0.7720039944380104,0.7422222222222222,0.8417289211737358,446.4340404186942,131.62966515696078,35,24.565656565656564,62,38.505050505050505
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,13,40,40,84.0,84.0,2.5157662301691474E-4,5.030760325341413E-4,0.8348623853211009,0.7649039776301914,0.863030303030303,0.8357974521323971,88.64216859383474,576.0222642378743,1,254.825,69,34.175
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,14,15,15,65.4,65.4,1.0185272230914998E-4,4.004298774447119E-4,0.7857142857142857,0.767699611596701,0.8137373737373738,0.8489041814716857,11.31875676707467,339.2468571138408,0,100.13333333333334,18,38.86666666666667
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,15,40,40,38.3,38.3,2.657817458505498E-4,2.559698887873496E-4,0.8691588785046729,0.775248660975837,0.8937373737373737,0.8661082842452632,185.83342712283394,139.46629897551836,50,17.55,19,41.125
7547,163724,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,16,8,8,38.375,38.375,6.324772804813328E-5,2.515848728099047E-4,0.7543859649122807,0.7346692576191891,0.8016161616161617,0.8682244860456625,6.059074789668677,101.70533714392812,0,8.0,11,43.25
