nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std
7547,163724,100,0.85,1.0E-4,50,50,1.0,100,0.85,1.0E-4,0.2987012987012987,0.7371197789209752,1.0,0.15291664702138674,0.0,37.4425,47.0,5.830025192912975,
7547,163724,100,0.85,1.0E-4,50,55,1.1,100,0.85,1.0E-4,0.2987012987012987,0.7468545077963661,1.0,0.1493591826895945,0.0,37.00125,47.0,5.841339609841225,
7547,163724,100,0.85,1.0E-4,50,60,1.2,100,0.85,1.0E-4,0.3333333333333333,0.7608365659896174,1.0,0.14534116280150916,0.0,36.49,48.0,5.867486685114837,
7547,163724,100,0.85,1.0E-4,50,65,1.3,100,0.85,1.0E-4,0.35135135135135137,0.7733370179856727,1.0,0.13969397672689965,0.0,36.06125,47.0,5.883876140564147,
7547,163724,100,0.85,1.0E-4,50,70,1.4,100,0.85,1.0E-4,0.35135135135135137,0.7843815466392282,1.0,0.13466813590542495,0.0,35.75,47.0,5.872180174347514,
7547,163724,100,0.85,1.0E-4,50,75,1.5,100,0.85,1.0E-4,0.3888888888888889,0.7934851831975069,1.0,0.13072644402451292,0.0,35.38375,47.0,5.928236326050098,
7547,163724,100,0.85,1.0E-4,50,80,1.6,100,0.85,1.0E-4,0.4084507042253521,0.8040928353130451,1.0,0.1256939790611638,0.0,34.9025,46.0,5.918445213905424,
7547,163724,100,0.85,1.0E-4,50,85,1.7,100,0.85,1.0E-4,0.4492753623188406,0.8157178262709006,1.0,0.1205959261376703,0.0,34.56875,46.0,5.912932727293622,
7547,163724,100,0.85,1.0E-4,50,90,1.8,100,0.85,1.0E-4,0.4492753623188406,0.8248307109363857,1.0,0.11564006898705083,0.0,34.2525,47.0,5.902223627583082,
7547,163724,100,0.85,1.0E-4,50,95,1.9,100,0.85,1.0E-4,0.47058823529411764,0.832818893989491,1.0,0.11126660851102524,0.0,33.83375,47.0,5.930734434916139,
7547,163724,100,0.85,1.0E-4,50,100,2.0,100,0.85,1.0E-4,0.5151515151515151,0.841124325184007,1.0,0.10627373036292727,0.0,33.42125,48.0,5.844552886021303,
7547,163724,100,0.85,1.0E-4,50,105,2.1,100,0.85,1.0E-4,0.5151515151515151,0.8478060687294336,1.0,0.10086157561571417,0.0,33.13125,47.0,5.868051076592637,
7547,163724,100,0.85,1.0E-4,50,110,2.2,100,0.85,1.0E-4,0.5625,0.8530019864226529,1.0,0.09652051167789599,0.0,32.85875,47.0,5.925900643573088,
7547,163724,100,0.85,1.0E-4,50,115,2.3,100,0.85,1.0E-4,0.5625,0.8599585882382015,1.0,0.09245983085184073,0.0,32.52,47.0,5.877890778161845,
7547,163724,100,0.85,1.0E-4,50,120,2.4,100,0.85,1.0E-4,0.5625,0.8645122216433643,1.0,0.08947095472406337,0.0,32.25625,47.0,5.884350935957168,
7547,163724,100,0.85,1.0E-4,50,125,2.5,100,0.85,1.0E-4,0.5873015873015873,0.8684716666919872,1.0,0.08580999701774406,0.0,31.88625,47.0,5.85177844227719,
7547,163724,100,0.85,1.0E-4,50,130,2.6,100,0.85,1.0E-4,0.5873015873015873,0.8724718879389921,1.0,0.08168716826916414,0.0,31.66375,46.0,5.886270970444696,
7547,163724,100,0.85,1.0E-4,50,135,2.7,100,0.85,1.0E-4,0.6129032258064516,0.8757196075414417,1.0,0.07894966581899612,0.0,31.33625,45.0,5.875217948084986,
7547,163724,100,0.85,1.0E-4,50,140,2.8,100,0.85,1.0E-4,0.6129032258064516,0.8793965044689442,1.0,0.07633753596273414,0.0,31.08,45.0,5.9026350048092935,
7547,163724,100,0.85,1.0E-4,50,145,2.9,100,0.85,1.0E-4,0.6129032258064516,0.8825955368493504,1.0,0.07454512600116385,0.0,30.7875,45.0,5.802787584428712,
7547,163724,100,0.85,1.0E-4,50,150,3.0,100,0.85,1.0E-4,0.6129032258064516,0.8832213403765518,1.0,0.07355277997212943,0.0,30.6525,45.0,5.7640475145508665,
7547,163724,100,0.85,1.0E-4,50,155,3.1,100,0.85,1.0E-4,0.6129032258064516,0.8854675314481003,1.0,0.07234531404724859,0.0,30.485,45.0,5.769295884247915,
7547,163724,100,0.85,1.0E-4,50,160,3.2,100,0.85,1.0E-4,0.639344262295082,0.8876514734720566,1.0,0.07145863921338132,0.0,30.1375,44.0,5.735511638031955,
7547,163724,100,0.85,1.0E-4,50,165,3.3,100,0.85,1.0E-4,0.639344262295082,0.8885267982732937,1.0,0.07024265199579767,0.0,29.965,44.0,5.724620074729852,
7547,163724,100,0.85,1.0E-4,50,170,3.4,100,0.85,1.0E-4,0.639344262295082,0.8891021095278808,1.0,0.06965685016978156,0.0,29.80625,44.0,5.757925923238332,
7547,163724,100,0.85,1.0E-4,50,175,3.5,100,0.85,1.0E-4,0.639344262295082,0.8905020057834233,1.0,0.07042965013969495,0.0,29.565,44.0,5.730469003493519,
7547,163724,100,0.85,1.0E-4,50,180,3.6,100,0.85,1.0E-4,0.639344262295082,0.8922224669374793,1.0,0.06956716029807565,0.0,29.4075,44.0,5.786531236414441,
7547,163724,100,0.85,1.0E-4,50,185,3.7,100,0.85,1.0E-4,0.639344262295082,0.8913479101359714,1.0,0.07038202818373118,0.0,29.3225,42.0,5.809990856275081,
7547,163724,100,0.85,1.0E-4,50,190,3.8,100,0.85,1.0E-4,0.639344262295082,0.8917230072711084,1.0,0.07014212000265757,0.0,29.0675,42.0,5.823267446202345,
7547,163724,100,0.85,1.0E-4,50,195,3.9,100,0.85,1.0E-4,0.639344262295082,0.8918497666064491,1.0,0.07118592327957059,0.0,28.96375,41.0,5.798701228507982,
7547,163724,100,0.85,1.0E-4,50,200,4.0,100,0.85,1.0E-4,0.639344262295082,0.893280789590725,1.0,0.07062401230558042,0.0,28.8,42.0,5.836308764964376,
7547,163724,100,0.85,1.0E-4,50,205,4.1,100,0.85,1.0E-4,0.639344262295082,0.8943441198525348,1.0,0.06996545435442106,0.0,28.6425,41.0,5.77708349861762,
7547,163724,100,0.85,1.0E-4,50,210,4.2,100,0.85,1.0E-4,0.639344262295082,0.895450277355702,1.0,0.06924513613908019,0.0,28.46375,42.0,5.797299883350867,
7547,163724,100,0.85,1.0E-4,50,215,4.3,100,0.85,1.0E-4,0.639344262295082,0.8949097955598647,1.0,0.07094213271385832,0.0,28.30125,43.0,5.799396385616356,
7547,163724,100,0.85,1.0E-4,50,220,4.4,100,0.85,1.0E-4,0.639344262295082,0.8944356435810176,1.0,0.07175690993483691,0.0,28.32125,42.0,5.821344212250292,
7547,163724,100,0.85,1.0E-4,50,225,4.5,100,0.85,1.0E-4,0.639344262295082,0.8943307031014918,1.0,0.07209677932299795,0.0,28.14625,43.0,5.8255781633671395,
7547,163724,100,0.85,1.0E-4,50,230,4.6,100,0.85,1.0E-4,0.639344262295082,0.894441800568877,1.0,0.07183407899739921,0.0,28.05125,43.0,5.78110053860855,
7547,163724,100,0.85,1.0E-4,50,235,4.7,100,0.85,1.0E-4,0.639344262295082,0.894933103499065,1.0,0.07238313602784198,0.0,27.82875,43.0,5.767748558796572,
7547,163724,100,0.85,1.0E-4,50,240,4.8,100,0.85,1.0E-4,0.639344262295082,0.8959393855681823,1.0,0.07266236420748606,0.0,27.74125,43.0,5.743413483069103,
7547,163724,100,0.85,1.0E-4,50,245,4.9,100,0.85,1.0E-4,0.639344262295082,0.8967794940049728,1.0,0.07252896118155377,0.0,27.62625,45.0,5.808963843707416,
7547,163724,100,0.85,1.0E-4,50,250,5.0,100,0.85,1.0E-4,0.639344262295082,0.8984772678220605,1.0,0.07133516528867505,0.0,27.3825,45.0,5.778295055637082,
7547,163724,100,0.85,1.0E-4,50,255,5.1,100,0.85,1.0E-4,0.639344262295082,0.8991386489536505,1.0,0.0711590734683556,0.0,27.24375,45.0,5.785052803345878,
7547,163724,100,0.85,1.0E-4,50,260,5.2,100,0.85,1.0E-4,0.639344262295082,0.8999473888026482,1.0,0.07055703723782628,0.0,27.075,44.0,5.801454558987771,
7547,163724,100,0.85,1.0E-4,50,265,5.3,100,0.85,1.0E-4,0.639344262295082,0.9002779030456836,1.0,0.0707677970769337,0.0,27.0,44.0,5.725818718751057,
7547,163724,100,0.85,1.0E-4,50,270,5.4,100,0.85,1.0E-4,0.639344262295082,0.9013456775460579,1.0,0.07001625489382268,0.0,26.92625,43.0,5.731998860563396,
7547,163724,100,0.85,1.0E-4,50,275,5.5,100,0.85,1.0E-4,0.639344262295082,0.9027902099233068,1.0,0.06944732792124267,0.0,26.6175,44.0,5.720899732559552,
7547,163724,100,0.85,1.0E-4,50,280,5.6,100,0.85,1.0E-4,0.639344262295082,0.9036365911727402,1.0,0.06932521140576715,0.0,26.40875,44.0,5.775740077037747,
7547,163724,100,0.85,1.0E-4,50,285,5.7,100,0.85,1.0E-4,0.6666666666666666,0.9051133433000761,1.0,0.0679507418012808,0.0,26.21,43.0,5.743988161547686,
7547,163724,100,0.85,1.0E-4,50,290,5.8,100,0.85,1.0E-4,0.6666666666666666,0.9058347752484102,1.0,0.06787630147540938,0.0,26.03375,44.0,5.779066614731136,
7547,163724,100,0.85,1.0E-4,50,295,5.9,100,0.85,1.0E-4,0.6666666666666666,0.9071221111919863,1.0,0.06754060803709935,0.0,25.81,42.0,5.799905171638584,
7547,163724,100,0.85,1.0E-4,50,300,6.0,100,0.85,1.0E-4,0.6666666666666666,0.9089392624925072,1.0,0.06637190921851575,0.0,25.6375,42.0,5.832974691356033,
7547,163724,100,0.85,1.0E-4,50,305,6.1,100,0.85,1.0E-4,0.6666666666666666,0.909959046687562,1.0,0.06602203840354315,0.0,25.445,42.0,5.8261887199094415,
7547,163724,100,0.85,1.0E-4,50,310,6.2,100,0.85,1.0E-4,0.6666666666666666,0.911244175375965,1.0,0.06553291675566954,0.0,25.25,43.0,5.841232746604093,
7547,163724,100,0.85,1.0E-4,50,315,6.3,100,0.85,1.0E-4,0.6666666666666666,0.9122502130835111,1.0,0.06494465246264987,0.0,25.11125,43.0,5.847339004838013,
