nodes,edges,iterations,damping,tolerance,smallTop,iterations,damping,tolerance,max entries,node id,indegree,outdegree,neighbour indegree,neighbour outdegree,pagerank,neighbour pagerank,jaccard,neighbour jaccard,kendall,neighbour kendall,pagerank error,neighbour pagerank error,excluded,neighbour excluded,included,neighbour included
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,0,23,23,33.82608695652174,33.82608695652174,1.894929214848399E-4,3.9739926825891855E-4,1.0,0.9383927708494614,0.9657142857142857,0.9389054969381118,8.74424604543994E7,1.2343298989315145E8,0,2.9565217391304346,1,3.8260869565217392
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,1,22,22,98.86363636363636,98.86363636363636,1.6031994220871778E-4,4.6094417765013605E-4,0.9607843137254902,0.9208636179266892,0.9587587569395494,0.9087021020231302,4.3884331295073904E7,6.912118277977408E8,2,13.227272727272727,8,9.0
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,2,10,10,32.5,32.5,7.118134737957294E-5,4.1188543082508987E-4,1.0,0.9425168616067617,0.9526530612244898,0.9343747715428797,2.4194039384886757E7,9.16933715438448E7,0,2.6,1,3.5
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,3,22,22,23.90909090909091,23.90909090909091,2.6499101165971856E-4,2.494047906056919E-4,1.0,0.9338173849827563,0.9608163265306122,0.9498122632072188,6.523037958766831E7,6.351685784738188E7,1,2.6363636363636362,1,3.0
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,4,253,253,37.49802371541502,37.49802371541502,0.0012758381754953846,3.2055922592800324E-4,0.9607843137254902,0.9407285875128486,0.8978761166499352,0.9320606845273138,1.7735754808605642E9,6.731074698782183E7,32,2.58102766798419,23,3.2885375494071147
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,5,19,19,63.1578947368421,63.1578947368421,7.362807458022903E-5,6.946619492534505E-4,1.0,0.9356678547635964,0.9591836734693877,0.9207179653965636,5.694721320041162E7,2.098515451891507E8,0,6.2105263157894735,0,7.2631578947368425
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,6,161,161,27.60248447204969,27.60248447204969,0.0010396175476220081,2.839535265906058E-4,0.9230769230769231,0.938792432656488,0.9064925214675467,0.939497614458935,9.424078704569398E8,5.604249791486282E7,6,1.8944099378881987,13,2.3540372670807455
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,7,73,73,39.136986301369866,39.136986301369866,3.4398021133328705E-4,3.859129579403625E-4,0.8181818181818182,0.9452890787328915,0.8950592824580461,0.936111405872925,4.4839518082946604E8,8.733107493562561E7,16,3.3013698630136985,9,3.589041095890411
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,8,72,72,28.958333333333332,28.958333333333332,4.0272890050914147E-4,2.932344845728001E-4,0.7543859649122807,0.9366465044479239,0.8672928448635446,0.9419247259445191,4.383949964042457E8,6.014822784256799E7,5,1.9305555555555556,9,2.2222222222222223
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,9,698,698,50.03868194842407,50.03868194842407,0.0029103276443570125,3.745035305824804E-4,0.8181818181818182,0.9392703310198686,0.9002465022034126,0.9194890592692487,6.135405397091843E9,5.989967964306044E7,82,2.322349570200573,57,2.7765042979942693
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,10,51,51,35.31372549019608,35.31372549019608,2.623638775273098E-4,2.9310206270080196E-4,0.9230769230769231,0.9500700021036889,0.8233862195448106,0.9317039071932449,1.5708936432640395E8,6.0995862945990354E7,7,2.215686274509804,1,2.5098039215686274
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,11,8,8,43.5,43.5,5.762594241459819E-5,3.9534471565965995E-4,0.9607843137254902,0.9658748114630468,0.9706122448979592,0.9456170833862004,1.8271283755782507E7,1.885662719997402E8,0,3.75,0,6.75
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,12,99,99,44.58585858585859,44.58585858585859,6.720160097557171E-4,4.702004792243553E-4,0.8518518518518519,0.9270360746509352,0.8999592420335463,0.9221826860175116,6.454099895122443E8,8.572791834674424E7,8,2.9393939393939394,13,3.3535353535353534
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,13,40,40,84.0,84.0,1.7963004979004807E-4,8.636423104659881E-4,0.9607843137254902,0.9276348533285264,0.9064925214675467,0.9166576167040155,1.2973394711011277E8,2.4883720719165072E8,5,9.625,2,13.775
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,14,15,15,65.4,65.4,5.843127482728868E-5,6.834424603249444E-4,0.9230769230769231,0.9387404308602978,0.9554921172225491,0.9184731649233856,2.6166205673349928E7,1.5945475441127935E8,0,6.866666666666666,1,8.066666666666666
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,15,40,40,38.3,38.3,2.328909339560775E-4,4.124727664862536E-4,1.0,0.9442494252982587,0.8791836734693877,0.9387317856509962,1.7727582196634722E8,1.1145400071355908E8,1,3.325,0,3.825
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,16,8,8,38.375,38.375,4.689264582738445E-5,4.072369065834247E-4,0.9230769230769231,0.9384737123360876,0.9375255987790483,0.9380422161681257,2.1107241836405117E7,6.910028956654568E7,5,2.125,0,3.5
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,17,39,39,33.12820512820513,33.12820512820513,2.1232450248731294E-4,3.1331320221436565E-4,1.0,0.9408497259033689,0.895791437412747,0.9455409940045006,1.5367615415899104E8,9.962260434098144E7,2,3.4358974358974357,2,3.641025641025641
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,18,153,153,42.40522875816993,42.40522875816993,6.01543132984595E-4,3.4296071543585814E-4,0.8867924528301887,0.9426210293003183,0.9015925618920464,0.9313302237182073,9.605318167991757E8,6.4214830792722315E7,26,2.3986928104575163,14,2.6666666666666665
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,19,74,74,45.810810810810814,45.810810810810814,2.9726628608772444E-4,3.7714295670449646E-4,0.7857142857142857,0.941632616993326,0.8282921950336576,0.9298969777590665,3.0971589633051085E8,9.731082587496899E7,18,3.810810810810811,6,4.4324324324324325
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,20,2,2,32.5,32.5,2.7614125546152627E-5,2.776482704850987E-4,0.9230769230769231,0.9803921568627452,0.9473255179300487,0.9361140723473257,4298007.08972416,4.064151493929425E7,0,1.0,0,5.0
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,21,49,49,32.97959183673469,32.97959183673469,2.9058858941748155E-4,2.797023051042583E-4,0.9230769230769231,0.9482970094988473,0.8434824483667472,0.9376119580008971,1.733115755705984E8,7.33929656336342E7,1,2.142857142857143,1,2.9183673469387754
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,22,266,266,68.54511278195488,68.54511278195488,6.297987032601114E-4,5.199919489933985E-4,0.9230769230769231,0.939437757388568,0.8969758518775147,0.9122836294473639,2.4580798891502233E9,1.049355493120365E8,76,4.421052631578948,44,5.12781954887218
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,23,111,111,38.0990990990991,38.0990990990991,5.831707060953681E-4,3.7558665949025594E-4,0.9607843137254902,0.9431421466197643,0.8423205425533059,0.9330966488734745,7.937245253184836E8,7.736601320859882E7,9,3.045045045045045,2,3.2882882882882885
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,24,40,40,80.725,80.725,3.312967336134371E-4,3.6826261225972746E-4,0.9607843137254902,0.9204129063641879,0.9575510204081633,0.906367666800681,1.3498912381546378E8,5.282626467105029E8,5,10.9,3,7.95
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,25,22,22,37.77272727272727,37.77272727272727,1.2050907472540143E-4,3.742194860059108E-4,0.9607843137254902,0.9390242675481296,0.9526530612244898,0.930657136365826,4.898197829727208E7,7.956337927488074E7,2,2.8636363636363638,4,2.5454545454545454
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,26,4,4,26.25,26.25,3.889839766590875E-5,3.0820609933367984E-4,0.9607843137254902,0.9520902700702922,0.929795918367347,0.9557059090820197,1.2805838841494126E7,6.517115202809082E7,0,3.5,0,1.5
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,27,223,223,72.60538116591928,72.60538116591928,5.528859123590394E-4,5.903732827768023E-4,0.8867924528301887,0.9361087635123617,0.8785294443615635,0.9136074661878383,1.7878245948642402E9,1.3045158134243184E8,65,5.0941704035874436,32,6.417040358744394
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,28,59,59,41.45762711864407,41.45762711864407,2.6797244530566924E-4,3.938489134301964E-4,0.9230769230769231,0.9484962839803956,0.8999592420335463,0.9326937295005037,3.190486274368925E8,1.0618467639592855E8,10,3.711864406779661,14,4.169491525423729
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,29,64,64,42.5,42.5,2.6130384130295347E-4,3.6061788156488384E-4,0.7857142857142857,0.9447415284852834,0.8371547322558678,0.9305320056206465,2.457330861820529E8,9.163969607836576E7,6,3.765625,5,4.390625
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,30,19,19,79.57894736842105,79.57894736842105,6.693031890328796E-5,5.757805971992358E-4,0.9607843137254902,0.930147059769117,0.9309923193450479,0.9216279540627674,2.2846164121568494E7,1.417716315261236E8,0,7.2631578947368425,1,6.2105263157894735
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,31,12,12,43.25,43.25,5.7743975571219856E-5,5.448541296365485E-4,0.9607843137254902,0.9490599766219449,0.9587587569395494,0.9213484104207819,4.161825931922312E7,9.075303181302722E7,4,3.5,2,3.1666666666666665
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,32,40,40,39.25,39.25,2.0831749900882357E-4,3.873665776282703E-4,1.0,0.9472597715106028,0.8950592824580461,0.9373307294717081,1.4618130596531725E8,1.0400241981778087E8,1,3.175,1,3.8
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,33,10,10,44.2,44.2,6.461210167264954E-5,4.824943800459767E-4,0.9230769230769231,0.9351012328814772,0.9477551020408164,0.944544079567047,2.5370436038489856E7,1.3345501763512805E8,0,5.5,0,5.4
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,34,88,88,28.375,28.375,5.595403360578145E-4,2.6635360718562566E-4,0.8867924528301887,0.9442242511054935,0.8922448979591837,0.9440278055839051,5.22569205276381E8,6.5803465371570446E7,10,2.25,7,2.715909090909091
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,35,28,28,42.464285714285715,42.464285714285715,1.360175820777865E-4,4.233881278228255E-4,1.0,0.9479965506602573,0.9412244897959183,0.9309192636639282,9.583258682864766E7,1.2310820953354277E8,1,3.5357142857142856,3,3.9285714285714284
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,36,84,84,54.80952380952381,54.80952380952381,2.9182736717063193E-4,5.091882674220117E-4,0.8181818181818182,0.9404579334287055,0.8091546743053099,0.919607327654753,3.489637539704872E8,1.2316960776390462E8,15,4.2976190476190474,9,5.619047619047619
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,37,4,4,47.0,47.0,3.195351256666814E-5,2.7923478260302254E-4,1.0,0.9422863485016648,0.9309923193450479,0.9385493274033393,5365010.202608336,1.105288984502736E8,0,5.25,0,3.75
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,38,42,42,72.9047619047619,72.9047619047619,1.3384552187160564E-4,6.766526312384261E-4,1.0,0.9356376964590054,0.8577280479667392,0.911120184487302,6.762079424159856E7,1.191018496433974E8,2,5.261904761904762,8,7.428571428571429
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,39,6,6,49.166666666666664,49.166666666666664,4.371165256397199E-5,5.138067301363829E-4,0.9607843137254902,0.9363717426980469,0.9330612244897959,0.9290807848077652,7450998.443495327,1.5856670147124353E8,0,6.166666666666667,2,5.833333333333333
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,40,57,57,40.175438596491226,40.175438596491226,2.5578655818309705E-4,3.4487567555336403E-4,0.8181818181818182,0.9481415134003858,0.8840816326530613,0.9322532258163059,2.3431431959577382E8,9.350496008539596E7,8,3.4210526315789473,7,3.9473684210526314
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,41,106,106,56.62264150943396,56.62264150943396,5.07702149081218E-4,5.046011369752325E-4,0.8181818181818182,0.9397524464535961,0.8532903838128721,0.9210235967193301,5.839928974091084E8,1.1420912299186955E8,16,4.584905660377358,9,5.584905660377358
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,42,17,17,56.588235294117645,56.588235294117645,7.73184744458562E-5,5.478571112652176E-4,0.9230769230769231,0.9481558486585582,0.9444897959183673,0.9387365964958277,2.8391287128441636E7,1.8854539283245468E8,0,5.294117647058823,3,6.0
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,43,12,12,53.333333333333336,53.333333333333336,5.912934366408041E-5,5.431619062869835E-4,0.9230769230769231,0.9367279998060614,0.9391589186375483,0.9203777304057907,2.4176073172156632E7,1.1498772806532562E8,0,4.083333333333333,3,2.75
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,44,12,12,42.083333333333336,42.083333333333336,7.299475863143348E-5,4.0196789216408613E-4,0.9607843137254902,0.9483408748114632,0.97182531580755,0.9434367897253423,2.1212426584646553E7,1.7513486704592836E8,0,3.5833333333333335,0,5.166666666666667
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,45,14,14,36.285714285714285,36.285714285714285,9.175925681630982E-5,4.5104341464384133E-4,0.9607843137254902,0.934562375183907,0.9669253562320498,0.9376837253206368,4.819384216857861E7,8.834729869764008E7,1,3.5714285714285716,1,3.857142857142857
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,46,1,1,40.0,40.0,2.2691135550547915E-5,3.312967336134371E-4,1.0,0.9607843137254902,0.929795918367347,0.9575510204081633,2154314.518700754,1.3498912381546378E8,0,5.0,0,3.0
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,47,24,24,95.04166666666667,95.04166666666667,6.563291278287878E-5,7.946029129873019E-4,0.8181818181818182,0.9164533603582807,0.9081258413260468,0.8995981042799381,1.8214356202233303E7,1.9058664614493334E8,2,7.375,0,12.791666666666666
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,48,138,138,39.630434782608695,39.630434782608695,8.321755509516688E-4,3.716279999413623E-4,0.9230769230769231,0.9438895804923398,0.8586604172876086,0.9272462982469337,8.956966923790749E8,6.898225940614316E7,6,2.3550724637681157,11,2.601449275362319
7547,163724,80000,0.85,0.0,100,100,0.85,1.0E-4,50,49,20,20,103.9,103.9,8.879105900030637E-5,5.058836753433996E-4,0.9230769230769231,0.9128515326906003,0.9538587973640491,0.9011074569093017,3.5610375866000086E7,6.876680947335013E8,5,12.0,2,8.4
