nodes,edges,iterations,damping,tolerance,smallTop,iterations,damping,tolerance,max entries,node id,indegree,outdegree,neighbour indegree,neighbour outdegree,pagerank,neighbour pagerank,jaccard,neighbour jaccard,kendall,neighbour kendall,pagerank error,neighbour pagerank error,excluded,neighbour excluded,included,neighbour included
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,10,4,10,6.071428571428571,5.5,9.056691542280172E-5,1.1048164487897515E-4,0.9607843137254902,0.9637855142056823,0.5503091683772932,0.8063829274285672,3.274739986723488E7,3.732478400422657E7,1,4.285714285714286,5,2.4285714285714284
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,11,12,0,4.916666666666667,12.0,1.463599970296016E-4,1.1425790984727982E-4,1.0,0.8338952816182258,1.0,0.6784131743274567,6.6238548524778016E7,2.493153498104542E7,8,2.0,6,3.5
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,12,2,10,5.75,2.5,7.211395068903522E-5,1.015291952463236E-4,0.5625,0.9304927099044745,0.6983697208829563,0.8712880705767926,1.0092215708161293E7,3.2429240995776623E7,0,3.75,5,2.75
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,13,11,0,2.3636363636363638,9.818181818181818,1.4418906000209967E-4,7.421477372162982E-5,1.0,0.9014075873997598,1.0,0.6654717447589931,3.2622087530437477E7,8313748.86276884,1,0.18181818181818182,2,2.090909090909091
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,14,3,10,8.538461538461538,6.769230769230769,8.079769879904298E-5,1.3390772071471618E-4,0.639344262295082,0.8622455772207753,0.5718991151531956,0.7388699324126166,1.3300640830245929E7,4.246549964354538E7,1,6.3076923076923075,2,4.846153846153846
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,15,4,0,5.25,10.0,8.77446972870492E-5,9.727726419637276E-5,1.0,0.8812599136362207,1.0,0.7028089317343964,2.4993842930336904E7,3.1631287357909214E7,1,2.5,5,4.5
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,16,9,0,5.888888888888889,10.0,1.2682156378208414E-4,1.1907728549684329E-4,1.0,0.8333973193053033,1.0,0.6937775771290122,4.6028500510165036E7,3.2624713929271784E7,13,3.3333333333333335,12,3.111111111111111
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,17,5,10,5.533333333333333,7.133333333333334,9.642844539705696E-5,1.1399648495460505E-4,0.7857142857142857,0.8812211011717755,0.6254630669525674,0.7725043445363737,2.4001877131709434E7,3.715941168433765E7,2,4.8,3,3.4
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,18,11,0,11.181818181818182,9.818181818181818,1.4418906000209967E-4,1.537820014246611E-4,1.0,0.9231690949932453,1.0,0.6616838947028608,1.2808622643009941E8,6.603092916932044E7,37,8.818181818181818,10,2.6363636363636362
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,19,4,10,5.928571428571429,5.928571428571429,8.77446972870492E-5,1.1353815741901624E-4,0.8867924528301887,0.8928776646879607,0.6274251245736527,0.7525555543486437,1.7396296751573045E7,3.626183813082378E7,0,3.2857142857142856,4,4.071428571428571
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,20,4,10,5.428571428571429,3.7857142857142856,1.0033613204656045E-4,1.047400328737787E-4,0.6666666666666666,0.878093339623791,0.7713362682189903,0.8324287852203315,3.0067958371623322E7,4.458717466017095E7,2,8.214285714285714,2,4.142857142857143
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,21,1,10,5.090909090909091,2.8181818181818183,6.429857739002823E-5,9.902006639400307E-5,0.8867924528301887,0.9240428634352127,0.8294479221354842,0.8589813496775036,8873045.80136777,2.9217968829235636E7,0,4.181818181818182,2,4.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,22,6,0,3.1666666666666665,10.0,1.0337544388506318E-4,8.155752675866866E-5,1.0,0.8838166075835723,1.0,0.676902070254325,2.5887727094226312E7,1.8499785440434124E7,2,3.5,2,2.3333333333333335
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,23,4,9,4.076923076923077,6.3076923076923075,8.77446972870492E-5,9.529287833651747E-5,0.9230769230769231,0.8623722055846326,0.6888083354578639,0.7791611863313749,1.2477265020623282E7,3.1141404638442237E7,0,5.461538461538462,1,2.8461538461538463
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,24,1,0,6.0,10.0,6.429857739002823E-5,1.0337544388506318E-4,1.0,0.7543859649122807,1.0,0.6883491731963559,8041206.995494806,5.6829040674979694E7,0,11.0,1,3.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,25,8,10,8.277777777777779,6.722222222222222,1.1987456529407793E-4,1.352307255379033E-4,0.9607843137254902,0.8549915121941583,0.8302563997499142,0.7558573261862285,4.521314006582775E7,5.4690561284348875E7,5,7.722222222222222,11,3.3333333333333335
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,26,8,10,6.722222222222222,9.5,1.1900619048307715E-4,1.1330386255750541E-4,0.7857142857142857,0.7845107972018694,0.6161434593054484,0.6902260960848358,3.827542783603481E7,4.864828540746535E7,4,7.666666666666667,5,3.5555555555555554
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,27,5,0,4.0,11.4,9.381189497969936E-5,8.791837224924935E-5,1.0,0.8494832469013204,1.0,0.6679765265240593,2.8365880342494685E7,3.522331759285267E7,2,5.8,0,3.2
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,28,1,0,6.0,10.0,6.429857739002823E-5,1.0337544388506318E-4,1.0,0.7543859649122807,1.0,0.6883491731963559,7981401.707713435,5.6829040674979694E7,0,11.0,1,3.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,29,2,1,3.6666666666666665,9.333333333333334,7.406779401378697E-5,1.0887515102140143E-4,1.0,0.8261746319822545,0.8129625379980836,0.7896782865565601,9688622.440255163,2.738631713644704E7,0,3.6666666666666665,0,1.3333333333333333
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,30,14,2,5.5,8.25,2.3710516477918274E-4,1.1081172099144403E-4,0.7857142857142857,0.8368243291878178,0.7468806007713606,0.7727277172775426,6.904392435708821E7,3.291858570688209E7,13,3.25,2,2.125
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,31,11,0,4.363636363636363,9.545454545454545,1.502676836791051E-4,9.626467178092986E-5,1.0,0.8454387494988445,1.0,0.6842849749225454,6.6550689999273166E7,2.7268373860879015E7,9,2.8181818181818183,2,3.1818181818181817
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,32,1,0,1.0,10.0,6.429857739002823E-5,6.429857739002823E-5,1.0,0.9230769230769231,1.0,0.7738247133815133,3202954.4743024353,5877835.535204599,0,0.0,0,3.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,33,13,0,4.230769230769231,9.538461538461538,2.3276329072417887E-4,1.0057794970746603E-4,1.0,0.8631309813296452,1.0,0.7629548393471283,7.447701019814855E7,2.4431407852322593E7,12,2.230769230769231,5,1.6923076923076923
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,34,6,0,7.333333333333333,9.833333333333334,1.0424381869606394E-4,1.1400746881462396E-4,1.0,0.9303111558013519,1.0,0.7239985569556439,5.849270535027603E7,4.0670592026786946E7,6,4.0,7,2.5
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,35,10,0,4.3,9.9,1.3550531189209192E-4,9.536635620514063E-5,1.0,0.8639932826351139,1.0,0.7394523122476728,5.835148236298858E7,2.0772444543236222E7,2,1.8,6,2.7
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,36,4,0,4.25,9.75,8.861307209804997E-5,9.013272801730133E-5,1.0,0.9419306184012066,1.0,0.7071553963455339,2.3485091754975438E7,2.4938265060351238E7,3,4.5,3,2.25
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,37,4,0,10.5,10.0,8.77446972870492E-5,1.3941299854159538E-4,1.0,0.8812599136362207,1.0,0.6992522940150395,2.9660999260987155E7,6.842002830265246E7,4,10.25,12,4.5
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,38,4,10,6.428571428571429,8.357142857142858,8.861307209804997E-5,1.2368921178525992E-4,0.5151515151515151,0.8773056508546564,0.7574177074511637,0.7114021360052261,1.9742607139186744E7,4.51197171741782E7,1,7.571428571428571,2,2.7857142857142856
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,39,6,10,5.375,5.375,1.0511219350706473E-4,1.0447635945074061E-4,1.0,0.8937053147817301,0.787060842922043,0.7978816717980729,2.9655545968130346E7,3.733294760513917E7,2,4.0,5,2.8125
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,40,5,0,6.2,10.0,9.556007058605619E-5,1.0723971179401663E-4,1.0,0.8007827707354128,1.0,0.593199933971362,3.50977116812387E7,5.842413695318043E7,10,4.2,9,2.8
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,41,5,0,4.2,10.0,9.556007058605619E-5,9.004589053620126E-5,1.0,0.8442580023462378,1.0,0.7145233257836756,3.0162039035961695E7,3.4654667876733065E7,0,1.4,3,5.6
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,42,4,0,1.5,10.0,8.77446972870492E-5,6.842335774228192E-5,1.0,0.8353665329768272,1.0,0.7504118878521988,1.3070697489389315E7,9585334.315473465,1,0.25,0,4.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,43,1,0,2.0,10.0,6.429857739002823E-5,7.211395068903522E-5,1.0,0.5625,1.0,0.6983697208829563,3218909.801614763,1.0092215708161293E7,0,0.0,0,5.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,44,17,0,5.588235294117647,9.941176470588236,1.9064711239064118E-4,1.1917139455875043E-4,1.0,0.821657989401237,1.0,0.7245914156307909,1.3660887498518538E8,3.1965176215045117E7,23,4.0,2,1.7058823529411764
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,45,7,0,3.7142857142857144,10.0,1.1119081718407017E-4,9.583919106102073E-5,1.0,0.7873136400825171,1.0,0.76494957604136,3.1823282923703983E7,1.704515647723574E7,3,2.5714285714285716,4,2.2857142857142856
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,46,9,10,13.68421052631579,8.894736842105264,1.276899385930849E-4,1.8116715358135012E-4,0.5384615384615384,0.7835600193537988,0.39951263274806337,0.6599487938889733,5.5205114205196105E7,9.02591118460686E7,4,12.0,3,3.789473684210526
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,47,2,0,3.5,10.0,7.211395068903522E-5,8.383701063754571E-5,1.0,0.7246462264150944,1.0,0.7157285566867477,9113539.392467514,2.0608635003826488E7,0,1.0,3,6.5
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,48,9,0,3.2222222222222223,9.777777777777779,1.287754071068359E-4,8.531876130711053E-5,1.0,0.7996444631506552,1.0,0.6286806872271312,3.536967697141736E7,1.4901096501207918E7,2,1.0,0,3.111111111111111
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,49,1,0,2.0,10.0,6.429857739002823E-5,7.211395068903522E-5,1.0,0.5625,1.0,0.6983697208829563,3734655.0530565158,1.0092215708161293E7,0,0.0,1,5.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,50,3,0,6.0,7.0,1.502676836791051E-4,1.1075662977856978E-4,1.0,0.8632478632478632,1.0,0.767021723992411,5.9177803781244986E7,5.7280539699077405E7,10,7.666666666666667,3,2.3333333333333335
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,51,3,0,2.3333333333333335,9.666666666666666,8.079769879904298E-5,8.032216021206636E-5,1.0,0.7355889724310777,1.0,0.7651688018272745,1.3130428247418933E7,1.5271605369613782E7,0,0.6666666666666666,4,1.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,52,11,0,7.090909090909091,10.0,1.424523103800981E-4,1.1307229594123852E-4,1.0,0.8557872158698199,1.0,0.6364735419301927,9.504813414612979E7,3.718355800629287E7,17,4.090909090909091,7,3.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,53,6,0,7.5,10.0,1.0337544388506318E-4,1.1757032511576446E-4,1.0,0.797590568055489,1.0,0.5854910016696413,4.573143048726474E7,5.59351335686118E7,14,5.833333333333333,5,3.1666666666666665
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,54,7,10,11.294117647058824,7.0588235294117645,1.1119081718407017E-4,1.6290326690589834E-4,0.7241379310344828,0.823590015529443,0.4969253451565301,0.7472380784243178,8.143494882948203E7,8.545849199610683E7,25,11.588235294117647,6,3.5294117647058822
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,55,4,0,5.75,9.75,8.861307209804997E-5,1.0478655295293943E-4,1.0,0.8072916666666666,1.0,0.7930683209915412,2.413220649196937E7,4.201823636251609E7,3,5.25,6,3.5
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,56,1,0,4.0,10.0,6.429857739002823E-5,1.0033613204656045E-4,1.0,0.6666666666666666,1.0,0.7713362682189903,5978628.328517251,3.0067958371623322E7,0,2.0,3,2.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,57,7,0,3.857142857142857,9.857142857142858,1.1205919199507093E-4,1.0070829267984652E-4,1.0,0.8387507049603468,1.0,0.7002449252459763,4.978389035476754E7,2.7799394421747904E7,3,1.7142857142857142,4,2.4285714285714284
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,58,15,10,10.24,8.12,1.797924272531315E-4,1.4189825259604575E-4,0.6666666666666666,0.8361168020646242,0.5652221460095804,0.698742284598182,9.412214286415666E7,7.59378963472895E7,13,9.72,5,3.56
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,59,2,0,5.0,10.0,7.211395068903522E-5,1.022899753713122E-4,1.0,0.8137254901960784,1.0,0.6640406918094712,1.114716099310917E7,2.7133544293583117E7,2,3.0,1,2.5
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,60,1,1,2.0,10.0,6.429857739002823E-5,1.0728313053456667E-4,0.7543859649122807,0.8205892088712348,0.6346471761317253,0.7238677021006168,2124855.170899017,9296156.395204064,0,0.0,0,2.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,61,5,1,2.1666666666666665,10.0,9.556007058605619E-5,8.846834296288317E-5,0.6949152542372882,0.8130976154621208,0.8075200183976223,0.6822510407862324,1.3058223796889529E7,1.3263834324187638E7,0,0.3333333333333333,2,1.1666666666666667
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,62,1,9,7.0,4.2,6.429857739002823E-5,1.2149419377560419E-4,1.0,0.9164383916839967,0.7324061372137718,0.8962303753701238,2131601.0047482895,4.9360162203547E7,0,5.2,0,3.6
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,63,3,0,15.666666666666666,10.0,7.992932398804222E-5,1.8493031155155274E-4,1.0,0.8547517802731308,1.0,0.7316549342149314,2.8492880543612055E7,9.06836878470879E7,4,8.333333333333334,14,5.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,64,1,0,1.0,10.0,6.429857739002823E-5,6.429857739002823E-5,1.0,0.8867924528301887,1.0,0.8294479221354842,2133326.7722407687,8873045.80136777,0,0.0,0,2.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,65,9,10,6.315789473684211,6.2631578947368425,1.2768993859308493E-4,1.1900853328995334E-4,0.9607843137254902,0.8705998985783376,0.5858723415130642,0.8039327159274056,3.70402124794102E7,4.094496260058502E7,1,4.578947368421052,2,4.157894736842105
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,66,13,0,3.076923076923077,13.384615384615385,1.5424392623474023E-4,8.717691375677948E-5,1.0,0.8377273409402979,1.0,0.6984453686266364,5.910169709843085E7,1.9868469911832713E7,8,3.0,1,2.6923076923076925
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,67,9,0,6.777777777777778,8.88888888888889,1.6003690030286385E-4,1.1414063649053853E-4,1.0,0.845899487739938,1.0,0.728997057421926,7.162412245086455E7,4.435069823564817E7,19,4.777777777777778,7,2.6666666666666665
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,68,2,0,16.5,10.0,7.211395068903522E-5,1.8133251552087697E-4,1.0,0.9049346879535559,1.0,0.7657316895391082,2.297397003529076E7,1.150441847110308E8,1,15.5,13,4.0
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,69,8,0,3.875,8.625,1.910812997961416E-4,1.0360827514974616E-4,1.0,0.8768909996968003,1.0,0.7087018830730825,4.0703947361196846E7,2.010578158250872E7,5,2.25,3,2.375
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,70,3,0,12.666666666666666,10.0,7.992932398804222E-5,2.0468583850182044E-4,1.0,0.8908355795148247,1.0,0.6795017634072251,3.919949943394315E7,1.0193419261330767E8,5,17.0,11,3.6666666666666665
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,71,16,0,3.875,9.75,1.8574699738570824E-4,9.258084718313611E-5,1.0,0.8535294994125195,1.0,0.6725353613772366,8.706738317074187E7,2.156801233460895E7,6,2.1875,4,3.125
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,72,3,0,2.6666666666666665,10.0,7.992932398804222E-5,1.0105977772239443E-4,1.0,0.8255120141912595,1.0,0.6540502581771642,9470592.972932238,1.2187821044683034E7,0,0.3333333333333333,2,2.6666666666666665
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,73,5,10,5.466666666666667,7.2,9.751391391080793E-5,1.0502535602596464E-4,0.639344262295082,0.8364210360648952,0.6264443824753039,0.746468054604996,2.0602966661042005E7,2.913839068922403E7,4,3.3333333333333335,2,3.933333333333333
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,74,9,0,5.222222222222222,9.777777777777779,1.285583134040857E-4,1.0184645060225267E-4,1.0,0.8394470248534807,1.0,0.6891530703426335,6.2659238781433985E7,3.890196594398761E7,7,7.333333333333333,2,2.6666666666666665
10876,39994,80000,0.85,0.0,100,100,0.85,1.0E-4,50,75,11,10,6.285714285714286,6.666666666666667,1.424523103800981E-4,1.1109602653928613E-4,0.8518518518518519,0.8660271671458408,0.7620904315596913,0.776258313420649,6.733007750579408E7,4.859880985962633E7,5,6.809523809523809,5,4.0476190476190474
