nodes,edges,iterations,damping,tolerance,smallTop,largeTop,topRatio,iterations,damping,tolerance,max entries,node id,indegree,outdegree,neighbour indegree,neighbour outdegree,pagerank,neighbour pagerank,jaccard,neighbour jaccard,kendall,neighbour kendall,pagerank error,neighbour pagerank error,excluded,neighbour excluded,included,neighbour included
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,0,7,10,6.411764705882353,6.235294117647059,1.2171999615278028E-4,1.2742055888221045E-4,0.8518518518518519,0.9438706373696846,0.867526591068702,0.919445565677638,4.077247608556248,8.900680423248442,2,5.470588235294118,13,7.411764705882353
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,1,4,10,6.142857142857143,6.357142857142857,8.419916334546783E-5,1.1150551467714445E-4,0.8181818181818182,0.9547966859902329,0.8654912571234016,0.908544891038642,0.31510863392787647,5.824275398413908,0,3.9285714285714284,11,7.357142857142857
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,2,9,0,4.0,11.222222222222221,1.3734081440643653E-4,1.1224228956768134E-4,1.0,0.849710382819357,1.0,0.901244004767223,2.2978985592875087,2.132891693498603,1,1.4444444444444444,7,4.111111111111111
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,3,6,10,5.9375,6.875,1.2149511260334917E-4,1.0507720952156982E-4,0.9230769230769231,0.8877125220216691,0.9257274940329818,0.9300021816355949,5.055013138026341,2.8462766952758507,3,1.75,10,6.375
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,4,16,0,8.5,8.8125,4.098170104196591E-4,1.509274425636188E-4,1.0,0.9023331430798669,1.0,0.9173254105246392,93.97949790024548,12.211470106898915,64,7.875,2,6.875
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,5,7,0,3.0,9.857142857142858,1.0261688430003899E-4,7.984194447073518E-5,1.0,0.9050288134482659,1.0,0.9128478777729822,1.3881792056492037,0.912017631000818,1,0.5714285714285714,12,3.0
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,6,8,0,8.125,9.5,1.580164872247753E-4,1.2968231837553736E-4,1.0,0.889524827024827,1.0,0.917773673509098,9.11271394544156,7.211612680235764,2,5.5,8,6.25
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,7,5,0,8.6,9.8,1.1434683506347854E-4,1.3738632704736472E-4,1.0,0.8285787225326041,1.0,0.8472142676110307,10.419692908660325,19.59676019459888,8,13.2,11,3.2
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,8,1,10,7.2727272727272725,2.909090909090909,6.4899861938169E-5,1.260136987701086E-4,0.7094017094017094,0.9526604296150217,0.932990376577976,0.9582495899524509,0.04242103593761831,2.51213364655282,0,0.9090909090909091,6,9.727272727272727
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,9,17,0,4.588235294117647,11.0,1.8955215047206333E-4,9.858839454865548E-5,1.0,0.8959468145588023,1.0,0.9091702772453294,9.080793185058818,3.4641419148269605,4,2.823529411764706,11,2.4705882352941178
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,10,4,10,6.071428571428571,5.5,9.314259059125084E-5,1.1116407833807619E-4,0.9047619047619048,0.9284033479293692,0.8947991009880714,0.9440098327342408,0.5075119229310011,3.61752743637236,0,1.9285714285714286,6,7.071428571428571
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,11,12,0,4.916666666666667,12.0,1.5967828718946672E-4,1.0667739132538295E-4,1.0,0.874515293928535,1.0,0.9109782816390526,4.302274014982189,1.7680159242199711,3,1.5,17,3.0833333333333335
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,12,2,10,5.75,2.5,6.950418139514794E-5,1.0312115967703039E-4,1.0,0.976911976911977,0.7026671380451719,0.9545931058646957,0.005449688546238051,3.691899438416318,0,2.1666666666666665,0,6.583333333333333
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,13,11,0,2.3636363636363638,9.818181818181818,1.218430077946601E-4,7.017983373176975E-5,1.0,0.8566739328676996,1.0,0.9145745885037041,0.06991693463944978,0.14611022772552149,0,0.09090909090909091,4,2.0
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,14,3,10,8.538461538461538,6.769230769230769,7.698925826336447E-5,1.280469875838928E-4,0.8867924528301887,0.9160190574004285,0.8814163515427362,0.912856816761699,0.014439879588391805,5.207417426480924,0,3.3846153846153846,2,4.3076923076923075
10876,39994,50,0.85,1.0E-4,100,100,1.0,100,0.85,1.0E-4,100,15,4,0,5.25,10.0,8.922780477746235E-5,1.0076147478972974E-4,1.0,0.8796476054975786,1.0,0.9056607969112276,0.849664799868298,2.6967103964716936,0,2.25,11,5.0
