nodes,edges,iterations,damping,tolerance,frontierThreshold,iterations,damping,tolerance,max entries,node id,indegree,outdegree,neighbour indegree,neighbour outdegree,pagerank,neighbour pagerank,jaccard,neighbour jaccard,kendall,neighbour kendall,pagerank error,neighbour pagerank error,excluded,neighbour excluded,included,neighbour included
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,0,23,23,33.82608695652174,33.82608695652174,1.9193248528231576E-4,2.234870800953731E-4,1.0,0.9931798806479114,0.9983673469387755,0.9951007606618876,0.8067078359486319,1.32726221112055,0,0.391304347826087,0,0.7391304347826086
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,1,22,22,98.86363636363636,98.86363636363636,1.3890969581483592E-4,6.070328455300687E-4,1.0,0.9893048128342247,0.9934693877551021,0.9893135435992579,0.38937882909340593,12.051766758076457,1,6.545454545454546,0,1.9090909090909092
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,2,10,10,32.5,32.5,8.606035579222535E-5,2.2029061586615223E-4,1.0,0.9921568627450981,0.9934693877551021,0.9947753768173937,0.23093260782172328,0.9040013384328276,0,0.4,0,0.6
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,3,22,22,23.90909090909091,23.90909090909091,2.0347504840117315E-4,1.6069519785076743E-4,1.0,0.9982174688057041,1.0,0.9941371093892105,0.6216422394845798,0.6085623656804583,0,0.2727272727272727,0,0.5909090909090909
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,4,253,253,37.49802371541502,37.49802371541502,0.0015418814674902014,2.116739068955134E-4,1.0,0.9924167903707529,0.990204081632653,0.9937333545004178,17.53793556185087,0.8040174997011683,10,0.43478260869565216,8,0.782608695652174
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,5,19,19,63.1578947368421,63.1578947368421,1.3947911497213912E-4,3.774657220663252E-4,1.0,0.9917440660474717,0.9934693877551021,0.9960466284885906,0.530114426079007,2.2417242714198164,0,0.8947368421052632,0,1.6842105263157894
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,6,161,161,27.60248447204969,27.60248447204969,0.0010898840160705697,1.7708186875188816E-4,1.0,0.9926927292656189,0.9853061224489796,0.9933874565866708,7.407586551565286,0.5609947210316704,1,0.16770186335403728,0,0.484472049689441
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,7,73,73,39.136986301369866,39.136986301369866,4.777132955777072E-4,2.348367325444269E-4,1.0,0.9951651893634164,0.9918367346938776,0.9951686599929358,3.668881202442801,0.8912862678952324,0,0.3698630136986301,3,0.8493150684931506
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,8,72,72,28.958333333333332,28.958333333333332,4.748103778037604E-4,1.84324595605587E-4,1.0,0.9940296631473099,0.996734693877551,0.993128806166529,3.6982169499059974,0.625861722527689,0,0.18055555555555555,1,0.4027777777777778
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,9,698,698,50.03868194842407,50.03868194842407,0.00392402603064205,2.554655899628902E-4,0.9607843137254902,0.9922597207276153,0.9673469387755103,0.9945143870828332,172.92816894776425,0.7181245270988816,106,0.32951289398280803,5,0.7736389684813754
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,10,51,51,35.31372549019608,35.31372549019608,3.268298022082703E-4,2.010739631903727E-4,1.0,0.9923106497500956,0.9918367346938776,0.9939809908324126,1.3627616228139972,0.6001315880496729,0,0.37254901960784315,0,0.6078431372549019
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,11,8,8,43.5,43.5,7.066255667633373E-5,2.5717345228063615E-4,1.0,0.9950980392156863,0.9951020408163266,0.9932641389889291,0.17918387498021282,2.199750845750371,0,0.75,0,1.875
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,12,99,99,44.58585858585859,44.58585858585859,6.905421726309474E-4,2.6557972581798384E-4,0.9607843137254902,0.9936621113091701,0.9836734693877551,0.9935839909948196,4.592926860561248,0.916096330447872,0,0.40404040404040403,3,0.7373737373737373
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,13,40,40,84.0,84.0,2.703701899129298E-4,4.6558343280396887E-4,0.9607843137254902,0.990196078431372,0.9951020408163266,0.9922035144117665,1.110701851646497,3.569363214463382,0,2.375,1,4.225
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,14,15,15,65.4,65.4,1.0869667405913134E-4,3.720010757651543E-4,1.0,0.9895424836601308,0.9918367346938776,0.9954284825041125,0.248966926648705,1.830311247152083,0,1.6666666666666667,0,3.6
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,15,40,40,38.3,38.3,2.8508140175349426E-4,2.3994210303824134E-4,1.0,0.9960784313725488,0.9983673469387755,0.9952241896758707,1.5313615016400766,1.154410503945024,0,0.35,0,1.1
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,16,8,8,38.375,38.375,6.696900593580201E-5,2.3538660372865504E-4,0.9607843137254902,0.9950980392156863,0.986938775510204,0.9959183673469387,0.23059878668870987,0.6612180624227701,0,0.125,0,0.625
7547,163724,100,0.85,0.001,0.001,100,0.85,1.0E-4,50,17,39,39,33.12820512820513,33.12820512820513,2.6347188974668126E-4,2.053359295650845E-4,1.0,0.9959778783308193,0.9951020408163266,0.9944319262809412,1.366617216167363,1.043986217758759,0,0.38461538461538464,0,0.8974358974358975
