nodes,edges,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std,iterations alg1,damping alg1,tolerance alg1,smallTop alg1,largeTop alg1,topRatio alg1,iterations alg2,damping alg2,tolerance alg2
22015,117171,0.3333333333333333,0.8653546453546476,1.0,0.14803036227457925,0.0,3.0985714285714288,9.0,1.918406545409337,100,0.85,1.0E-4,10,10,1.0,100,0.85,1.0E-4
22015,117171,0.3333333333333333,0.8933261976119137,1.0,0.13195399049237244,0.0,2.84,9.0,1.8221180767761143,100,0.85,1.0E-4,10,12,1.2,100,0.85,1.0E-4
22015,117171,0.42857142857142855,0.9138071452357192,1.0,0.12160320966319339,0.0,2.3657142857142857,8.0,1.8292766497237343,100,0.85,1.0E-4,10,14,1.4,100,0.85,1.0E-4
22015,117171,0.42857142857142855,0.9232857618571924,1.0,0.11169246148090994,0.0,2.137142857142857,8.0,1.747992434486033,100,0.85,1.0E-4,10,16,1.6,100,0.85,1.0E-4
22015,117171,0.42857142857142855,0.933679177964894,1.0,0.10415438472622322,0.0,1.9442857142857144,7.0,1.7224679731035195,100,0.85,1.0E-4,10,18,1.8,100,0.85,1.0E-4
22015,117171,0.5384615384615384,0.9385214785214802,1.0,0.09807731878430433,0.0,1.8071428571428572,7.0,1.6252315376648363,100,0.85,1.0E-4,10,20,2.0,100,0.85,1.0E-4
22015,117171,0.5384615384615384,0.9475457875457894,1.0,0.09215953096843763,0.0,1.5928571428571427,7.0,1.5914792246363065,100,0.85,1.0E-4,10,22,2.2,100,0.85,1.0E-4
22015,117171,0.5384615384615384,0.952091242091244,1.0,0.08891950275789999,0.0,1.502857142857143,7.0,1.5404054594787169,100,0.85,1.0E-4,10,24,2.4,100,0.85,1.0E-4
22015,117171,0.5384615384615384,0.9550549450549468,1.0,0.08613043738263988,0.0,1.4228571428571428,8.0,1.4865272501054674,100,0.85,1.0E-4,10,26,2.6,100,0.85,1.0E-4
22015,117171,0.6666666666666666,0.9614718614718634,1.0,0.07900759051559808,0.0,1.3371428571428572,7.0,1.462109183784208,100,0.85,1.0E-4,10,28,2.8,100,0.85,1.0E-4
22015,117171,0.6666666666666666,0.9640259740259756,1.0,0.07678510337198796,0.0,1.3142857142857143,7.0,1.4416543784620417,100,0.85,1.0E-4,10,30,3.0,100,0.85,1.0E-4
22015,117171,0.6666666666666666,0.9673593073593086,1.0,0.07380011619470608,0.0,1.13,6.0,1.3475745407424196,100,0.85,1.0E-4,10,32,3.2,100,0.85,1.0E-4
