nodes,edges,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std,iterations alg1,damping alg1,tolerance alg1,smallTop alg1,largeTop alg1,topRatio alg1,iterations alg2,damping alg2,tolerance alg2
22015,117171,0.5,0.9192867119869662,1.0,0.0785072514674189,0.0,10.12,20.0,3.4087953464949625,100,0.85,1.0E-4,30,30,1.0,100,0.85,1.0E-4
22015,117171,0.5,0.945926201859039,1.0,0.06230250295624302,0.0,8.41,18.0,3.273122144288015,100,0.85,1.0E-4,30,40,1.3333333333333333,100,0.85,1.0E-4
22015,117171,0.6216216216216216,0.9557932305045308,1.0,0.0557215909994435,0.0,7.255714285714285,18.0,3.186854056198715,100,0.85,1.0E-4,30,50,1.6666666666666667,100,0.85,1.0E-4
22015,117171,0.6216216216216216,0.9648106893942445,1.0,0.050442116030218836,0.0,6.5128571428571425,17.0,3.141629305611588,100,0.85,1.0E-4,30,60,2.0,100,0.85,1.0E-4
22015,117171,0.6666666666666666,0.969587235187326,1.0,0.04334391484868393,0.0,5.985714285714286,19.0,2.940324846693241,100,0.85,1.0E-4,30,70,2.3333333333333335,100,0.85,1.0E-4
22015,117171,0.7647058823529411,0.9754158554917535,1.0,0.039205363052480804,0.0,5.4157142857142855,15.0,2.9272188514153896,100,0.85,1.0E-4,30,80,2.6666666666666665,100,0.85,1.0E-4
22015,117171,0.7647058823529411,0.97669518100495,1.0,0.03867973061680533,0.0,4.8742857142857146,14.0,2.8980133941465938,100,0.85,1.0E-4,30,90,3.0,100,0.85,1.0E-4
22015,117171,0.8181818181818182,0.9802644532886443,1.0,0.03472543741143166,0.0,4.598571428571429,14.0,2.85011242169963,100,0.85,1.0E-4,30,100,3.3333333333333335,100,0.85,1.0E-4
22015,117171,0.8181818181818182,0.983052471721824,1.0,0.03160140251256331,0.0,4.24,16.0,2.700708901645746,100,0.85,1.0E-4,30,110,3.6666666666666665,100,0.85,1.0E-4
22015,117171,0.875,0.9857027649769561,1.0,0.029482215107948868,0.0,3.98,15.0,2.72232043878537,100,0.85,1.0E-4,30,120,4.0,100,0.85,1.0E-4
22015,117171,0.875,0.9871543778801822,1.0,0.027780329713375337,0.0,3.7457142857142856,16.0,2.7009884811879896,100,0.85,1.0E-4,30,130,4.333333333333333,100,0.85,1.0E-4
22015,117171,0.875,0.9885195852534542,1.0,0.026162508195767837,0.0,3.7014285714285715,14.0,2.6791785978511533,100,0.85,1.0E-4,30,140,4.666666666666667,100,0.85,1.0E-4
22015,117171,0.875,0.990161290322579,1.0,0.02410721924908756,0.0,3.5714285714285716,14.0,2.5527096447916366,100,0.85,1.0E-4,30,150,5.0,100,0.85,1.0E-4
22015,117171,0.875,0.9909850230414731,1.0,0.023081240886322074,0.0,3.342857142857143,16.0,2.622352892704861,100,0.85,1.0E-4,30,160,5.333333333333333,100,0.85,1.0E-4
22015,117171,0.875,0.9909907834101362,1.0,0.02330829383307859,0.0,3.2014285714285715,15.0,2.4993137833723686,100,0.85,1.0E-4,30,170,5.666666666666667,100,0.85,1.0E-4
22015,117171,0.875,0.991451612903224,1.0,0.022839367066045505,0.0,3.2157142857142857,14.0,2.4496142970030266,100,0.85,1.0E-4,30,180,6.0,100,0.85,1.0E-4
22015,117171,0.875,0.9912672811059892,1.0,0.02302919027380665,0.0,3.111428571428571,12.0,2.500659504847406,100,0.85,1.0E-4,30,190,6.333333333333333,100,0.85,1.0E-4
22015,117171,0.875,0.9913652073732703,1.0,0.02316305696126703,0.0,3.18,13.0,2.5075087238133387,100,0.85,1.0E-4,30,200,6.666666666666667,100,0.85,1.0E-4
22015,117171,0.875,0.9915322580645147,1.0,0.022275651737436408,0.0,3.0757142857142856,12.0,2.4092047125428704,100,0.85,1.0E-4,30,210,7.0,100,0.85,1.0E-4
22015,117171,0.875,0.9919873271889388,1.0,0.02153008125024545,0.0,2.94,12.0,2.3371166606984524,100,0.85,1.0E-4,30,220,7.333333333333333,100,0.85,1.0E-4
22015,117171,0.875,0.9917165898617494,1.0,0.022077138770238237,0.0,3.0414285714285714,14.0,2.3981536265065526,100,0.85,1.0E-4,30,230,7.666666666666667,100,0.85,1.0E-4
22015,117171,0.875,0.9914400921658968,1.0,0.02237367825578492,0.0,2.8785714285714286,14.0,2.4327170499048916,100,0.85,1.0E-4,30,240,8.0,100,0.85,1.0E-4
