nodes,edges,iterations,damping,tolerance,frontierThreshold,iterations,damping,tolerance,max entries,node id,indegree,outdegree,neighbour indegree,neighbour outdegree,pagerank,neighbour pagerank,jaccard,neighbour jaccard,kendall,neighbour kendall,pagerank error,neighbour pagerank error,excluded,neighbour excluded,included,neighbour included
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,0,7,10,6.411764705882353,6.235294117647059,1.1640106605007482E-4,1.1454551150426553E-4,1.0,0.9704501283139398,0.7818842604885721,0.9468800671374896,155.99653548545234,157.71477731904017,1,1.411764705882353,0,1.2352941176470589
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,1,4,10,6.142857142857143,6.357142857142857,8.404267835594063E-5,1.0483871182957422E-4,1.0,0.9535307271908788,0.8744958170221654,0.9455035638894549,33.381318466232216,119.72847103115245,0,0.35714285714285715,0,1.3571428571428572
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,2,9,0,4.0,11.222222222222221,1.234270077027175E-4,1.1309514790994905E-4,1.0,0.9463502543413753,1.0,0.9093053535390416,168.12593221716455,66.29155586757676,0,0.4444444444444444,2,0.0
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,3,6,10,5.9375,6.875,1.0337544388506318E-4,1.0545068829358969E-4,0.8867924528301887,0.9711485102023394,0.9449481848993876,0.9292167316681319,186.6665085269082,103.43334901731794,1,1.0625,2,1.1875
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,4,16,0,8.5,8.8125,3.114597579711242E-4,1.4822202440864136E-4,1.0,0.9592451178153977,1.0,0.9223142651542126,640.3455908203139,189.5077437329379,7,1.9375,2,1.375
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,5,7,0,3.0,9.857142857142858,1.1205919199507093E-4,7.950399755000102E-5,1.0,0.934891227898997,1.0,0.9141135852605276,86.09180502577144,52.40776515799542,1,0.5714285714285714,2,0.5714285714285714
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,6,8,0,8.125,9.5,1.2421643934908182E-4,1.2943909356952931E-4,1.0,0.980580693815988,1.0,0.8900976224541165,336.0076155153264,150.24096189161332,1,1.75,2,1.25
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,7,5,0,8.6,9.8,9.642844539705696E-5,1.279070322958351E-4,1.0,0.9619738751814223,1.0,0.8824781374654285,135.45659697379764,202.30979105118115,2,2.8,5,0.6
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,8,1,10,7.2727272727272725,2.909090909090909,6.429857739002823E-5,1.2824254074553994E-4,1.0,0.9827153978097375,0.9469543273614699,0.9635060229400889,12.842898360712736,146.4800754868848,0,1.0,0,2.090909090909091
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,9,17,0,4.588235294117647,11.0,1.8518875643577917E-4,1.017255928934801E-4,1.0,0.9513632653607845,1.0,0.9088523120082811,352.100144253612,78.73632903415098,4,1.411764705882353,2,0.7647058823529411
