nodes,edges,jaccard min,jaccard average,jaccard max,jaccard std,levenstein min,levenstein average,levenstein max,levenstein std,iterations alg1,damping alg1,tolerance alg1,smallTop alg1,largeTop alg1,topRatio alg1,iterations alg2,damping alg2,tolerance alg2
10876,39994,0.1111111111111111,0.9326885812600116,1.0,0.11170267779998742,0.0,2.79,9.0,3.582921792535887,100,0.85,1.0E-4,10,10,1.0,100,0.85,1.0E-4
10876,39994,0.17647058823529413,0.9354459546056203,1.0,0.10936013012202644,0.0,2.7885714285714287,9.0,3.5746545430350074,100,0.85,1.0E-4,10,14,1.4,100,0.85,1.0E-4
10876,39994,0.17647058823529413,0.9363787123240921,1.0,0.11092282646870051,0.0,2.762857142857143,9.0,3.546151693982463,100,0.85,1.0E-4,10,18,1.8,100,0.85,1.0E-4
10876,39994,0.25,0.9321805575377026,1.0,0.11119849744657836,0.0,2.7714285714285714,9.0,3.5619875213201992,100,0.85,1.0E-4,10,22,2.2,100,0.85,1.0E-4
10876,39994,0.17647058823529413,0.9322857814454472,1.0,0.11170037932610641,0.0,2.7414285714285715,9.0,3.5238369046555267,100,0.85,1.0E-4,10,26,2.6,100,0.85,1.0E-4
10876,39994,0.17647058823529413,0.9374006665603322,1.0,0.10774432711894044,0.0,2.71,9.0,3.48755542710691,100,0.85,1.0E-4,10,30,3.0,100,0.85,1.0E-4
10876,39994,0.17647058823529413,0.9390728039467555,1.0,0.10686926627639257,0.0,2.677142857142857,9.0,3.458536909015199,100,0.85,1.0E-4,10,34,3.4,100,0.85,1.0E-4
10876,39994,0.1111111111111111,0.9363449249163552,1.0,0.10919109429596889,0.0,2.677142857142857,9.0,3.445708362942079,100,0.85,1.0E-4,10,38,3.8,100,0.85,1.0E-4
10876,39994,0.25,0.9350543504114952,1.0,0.10713683798463779,0.0,2.657142857142857,9.0,3.4292261279674596,100,0.85,1.0E-4,10,42,4.2,100,0.85,1.0E-4
10876,39994,0.42857142857142855,0.9379411065125367,1.0,0.10343150534352037,0.0,2.6485714285714286,9.0,3.428774993956832,100,0.85,1.0E-4,10,46,4.6,100,0.85,1.0E-4
10876,39994,0.42857142857142855,0.9365063507920672,1.0,0.10298084575241345,0.0,2.63,9.0,3.3973035526092494,100,0.85,1.0E-4,10,50,5.0,100,0.85,1.0E-4
10876,39994,0.5384615384615384,0.9354412254412271,1.0,0.10523252745336416,0.0,2.6342857142857143,9.0,3.399238810350917,100,0.85,1.0E-4,10,54,5.4,100,0.85,1.0E-4
10876,39994,0.25,0.9369438894438914,1.0,0.10564179923559407,0.0,2.6085714285714285,9.0,3.3697707788573417,100,0.85,1.0E-4,10,58,5.8,100,0.85,1.0E-4
10876,39994,0.3333333333333333,0.9384681984682,1.0,0.10344750163291531,0.0,2.6085714285714285,9.0,3.3752774640292422,100,0.85,1.0E-4,10,62,6.2,100,0.85,1.0E-4
10876,39994,0.3333333333333333,0.937638551924268,1.0,0.1011217037137098,0.0,2.6214285714285714,9.0,3.395097005016114,100,0.85,1.0E-4,10,66,6.6,100,0.85,1.0E-4
10876,39994,0.25,0.9388947956805122,1.0,0.10203715926551105,0.0,2.6085714285714285,9.0,3.3866858160045683,100,0.85,1.0E-4,10,70,7.0,100,0.85,1.0E-4
10876,39994,0.25,0.9394721944721964,1.0,0.10378688402908046,0.0,2.585714285714286,9.0,3.363641127209183,100,0.85,1.0E-4,10,74,7.4,100,0.85,1.0E-4
10876,39994,0.3333333333333333,0.9369620855335156,1.0,0.10406864644978148,0.0,2.5585714285714287,9.0,3.3309369277016536,100,0.85,1.0E-4,10,78,7.8,100,0.85,1.0E-4
10876,39994,0.3333333333333333,0.9381047523904683,1.0,0.10260358116681498,0.0,2.5514285714285716,9.0,3.3254749545695557,100,0.85,1.0E-4,10,82,8.2,100,0.85,1.0E-4
10876,39994,0.3333333333333333,0.9373426573426592,1.0,0.10459163264395654,0.0,2.5357142857142856,9.0,3.3049977615849655,100,0.85,1.0E-4,10,86,8.6,100,0.85,1.0E-4
10876,39994,0.3333333333333333,0.9366190951905257,1.0,0.10527087883097222,0.0,2.5285714285714285,9.0,3.3003092001093672,100,0.85,1.0E-4,10,90,9.0,100,0.85,1.0E-4
10876,39994,0.3333333333333333,0.9374420817277975,1.0,0.10339452015752702,0.0,2.5357142857142856,9.0,3.314062492482849,100,0.85,1.0E-4,10,94,9.4,100,0.85,1.0E-4
